# ************************************										
# Regatta Timing Export File										
# Generated on 03/25/22										
# Rules: 										
# 	All Data Copyright by Regatta Timing (C) 2000-2022									
# 	Unless otherwise noted									
# ************************************										
bowNumber	eventCode	eventName	entryName	avgAge	strokeName	orgName	officialTime	resultStatus	eventPercent	top5Percent
7	45	Mens Masters 8+ Club Champ	Station L	52	"Glasfeld, A."	station l	06:40.5	OK	7.33	FALSE
3	46	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	Long Beach	50		long beach	06:58.9	OK	0	TRUE
6	46	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	Sarasota	53		sarasota crew	06:59.1	OK	0.04	TRUE
1	46	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	College Club Seattle	50	"Scull, C."	college club seattle	07:07.0	OK	1.94	TRUE
2	46	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	Martha's Moms	57		martha's moms	07:07.7	OK	2.11	TRUE
4	46	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	BIAC	50		biac	07:22.4	OK	5.62	FALSE
5	46	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	Station L	50	"Walker, S."	station l	07:23.9	OK	5.96	FALSE
7	46	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	Martha's Moms	68		martha's moms	07:36.2	OK	8.91	FALSE
1	47	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	Sammamish	46	"Teschke, J."	sammamish rowing association	07:14.2	OK	0	TRUE
3	47	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	Texas RC	37		texas rowing center	07:14.3	OK	0.03	TRUE
5	47	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	Rogue Rowing	54	"Rimov, C."	rogue rowing	07:26.9	OK	2.93	TRUE
6	47	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	Sammamish	58	"Kovaly, J."	sammamish rowing association	07:29.5	OK	3.54	TRUE
4	47	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	Vancouver	40	"Riley, P."	vancouver	07:38.8	OK	5.66	FALSE
2	47	Womens Masters 8+ Club Champ Thalia Kelly Considine Cup	Lake Union	32	"Werner, J."	lake union	08:00.2	OK	10.6	FALSE
3	48	Womens Open 8+ Carley Copley Cup	Texas Austin	20		texas austin	06:41.1	OK	0	TRUE
2	48	Womens Open 8+ Carley Copley Cup	California	20		california	06:48.0	OK	1.71	TRUE
1	48	Womens Open 8+ Carley Copley Cup	Washington	19	"Adebiyi, A."	washington	06:54.3	OK	3.28	TRUE
5	48	Womens Open 8+ Carley Copley Cup	Baja California St	20		baja california state	07:02.1	OK	5.24	FALSE
7	48	Womens Open 8+ Carley Copley Cup	USC	20		usc women	07:08.9	OK	6.92	FALSE
4	48	Womens Open 8+ Carley Copley Cup	U of Calgary RC	25		u of calgary rc	07:19.2	OK	9.49	FALSE
6	48	Womens Open 8+ Carley Copley Cup	Bates	20		bates college	07:36.9	OK	13.91	FALSE
1	49	Mens Open 8+ Anderson Borthwick Memorial Trophy Presented by SDRC	Baja California St	22		baja california state	06:13.3	OK	0	TRUE
4	49	Mens Open 8+ Anderson Borthwick Memorial Trophy Presented by SDRC	Butte			Unaffiliated	06:20.8	OK	2.01	TRUE
3	49	Mens Open 8+ Anderson Borthwick Memorial Trophy Presented by SDRC	Long Beach St	24		long beach state rowing	06:28.6	OK	4.11	TRUE
2	49	Mens Open 8+ Anderson Borthwick Memorial Trophy Presented by SDRC	U of Calgary RC	27		u of calgary rc	06:31.0	OK	4.75	TRUE
2	50	Womens Youth Gilman-Mulliken Cup	Connecticut	17		connecticut	07:00.0	OK	0	TRUE
1	50	Womens Youth Gilman-Mulliken Cup	San Diego RC	16		san diego rc	07:00.3	OK	0.07	TRUE
3	50	Womens Youth Gilman-Mulliken Cup	Long Beach Junior Crew	17		long beach junior crew	07:12.3	OK	2.93	TRUE
5	50	Womens Youth Gilman-Mulliken Cup	Dallas United	17	"Rodriguez, E."	dallas united crew	07:12.7	OK	3.02	TRUE
4	50	Womens Youth Gilman-Mulliken Cup	Texas RC	17		texas rowing center	07:19.6	OK	4.68	TRUE
6	50	Womens Youth Gilman-Mulliken Cup	ZLAC	17		zlac	07:50.2	OK	11.94	FALSE
1	51	Womens Youth Gilman-Mulliken Cup	Marin	17	"Lermusiaux, J."	marin	06:41.5	OK	0	TRUE
2	51	Womens Youth Gilman-Mulliken Cup	Capital	17		capital	06:54.5	OK	3.22	TRUE
3	51	Womens Youth Gilman-Mulliken Cup	Norcal Crew	17		norcal crew	06:57.9	OK	4.07	TRUE
4	51	Womens Youth Gilman-Mulliken Cup	Pacific	18		pacific	07:09.6	OK	7	FALSE
5	51	Womens Youth Gilman-Mulliken Cup	River City	17		river city	07:15.1	OK	8.37	FALSE
6	51	Womens Youth Gilman-Mulliken Cup	CCHS Crew	17	"Ewart, C."	cchs crew	07:50.3	OK	17.14	FALSE
1	52	Womens Youth Gilman-Mulliken Cup	Newport	17		newport	06:43.7	OK	0	TRUE
2	52	Womens Youth Gilman-Mulliken Cup	Saugatuck	17		saugatuck	06:47.8	OK	1.02	TRUE
4	52	Womens Youth Gilman-Mulliken Cup	Marina Aquatic Center	18		marina aquatic center	07:03.0	OK	4.78	TRUE
3	52	Womens Youth Gilman-Mulliken Cup	Sammamish	17		sammamish rowing association	07:06.0	OK	5.53	FALSE
6	52	Womens Youth Gilman-Mulliken Cup	Saint Ignatius	17	"Visser, G."	saint ignatius	07:15.0	OK	7.75	FALSE
5	52	Womens Youth Gilman-Mulliken Cup	White Rock Rowing	17	"Fox, E."	white rock rowing	07:20.5	OK	9.11	FALSE
2	53	Mens Youth San Diego Rowing Cup	Saugatuck	17		saugatuck	06:05.9	OK	0	TRUE
1	53	Mens Youth San Diego Rowing Cup	San Diego RC	18		san diego rc	06:08.4	OK	0.69	TRUE
3	53	Mens Youth San Diego Rowing Cup	OARS	17		oars	06:11.7	OK	1.58	TRUE
4	53	Mens Youth San Diego Rowing Cup	Dallas United Crew	21		dallas united crew	06:24.4	OK	5.06	FALSE
5	53	Mens Youth San Diego Rowing Cup	Saint Ignatius	18		saint ignatius	06:32.9	OK	7.38	FALSE
1	54	Mens Youth San Diego Rowing Cup	Marin	18	"Sutherland, K."	marin	06:08.7	OK	0	TRUE
2	54	Mens Youth San Diego Rowing Cup	Norcal Crew	17		norcal crew	06:11.8	OK	0.86	TRUE
3	54	Mens Youth San Diego Rowing Cup	Long Beach Junior Crew	18	"Hutton, R."	long beach junior crew	06:20.3	OK	3.15	TRUE
5	54	Mens Youth San Diego Rowing Cup	Marina Aquatic Center	18		marina aquatic center	06:20.9	OK	3.31	TRUE
4	54	Mens Youth San Diego Rowing Cup	Sammamish	17		sammamish rowing association	06:24.3	OK	4.23	TRUE
1	55	Mens Youth San Diego Rowing Cup	Newport	18		newport	06:06.4	OK	0	TRUE
3	55	Mens Youth San Diego Rowing Cup	Maritime RC	18		maritime rowing club	06:19.5	OK	3.56	TRUE
2	55	Mens Youth San Diego Rowing Cup	Capital	17		capital	06:22.2	OK	4.3	TRUE
4	55	Mens Youth San Diego Rowing Cup	Pacific	17		pacific	06:23.0	OK	4.51	TRUE
5	55	Mens Youth San Diego Rowing Cup	CCHS Crew	17	"Krich, G."	cchs crew	06:37.5	OK	8.46	FALSE
2	56	Womens U17 Referee Cup LA84 Foundation Trophy	Capital	15		capital	07:10.0	OK	0	TRUE
1	56	Womens U17 Referee Cup LA84 Foundation Trophy	Marin	16	"King, A."	marin	07:16.0	OK	1.41	TRUE
5	56	Womens U17 Referee Cup LA84 Foundation Trophy	White Rock Rowing	14		white rock rowing	07:33.8	OK	5.54	FALSE
4	56	Womens U17 Referee Cup LA84 Foundation Trophy	Saint Ignatius	15	"Keene, A."	saint ignatius	07:43.0	OK	7.68	FALSE
3	56	Womens U17 Referee Cup LA84 Foundation Trophy	San Diego RC	15		san diego rc	07:49.4	OK	9.17	FALSE
1	57	Womens U17 Referee Cup LA84 Foundation Trophy	Long Beach Junior Crew	15		long beach junior crew	07:09.9	OK	0	TRUE
2	57	Womens U17 Referee Cup LA84 Foundation Trophy	Pacific	16		pacific	07:11.5	OK	0.37	TRUE
3	57	Womens U17 Referee Cup LA84 Foundation Trophy	Marina Aquatic Center	14		marina aquatic center	07:29.1	OK	4.47	TRUE
4	57	Womens U17 Referee Cup LA84 Foundation Trophy	Dallas United A	16	"Bell, V."	dallas united crew	07:51.6	OK	9.7	FALSE
1	58	Womens U17 Referee Cup LA84 Foundation Trophy	Newport	16		newport	07:12.3	OK	0	TRUE
2	58	Womens U17 Referee Cup LA84 Foundation Trophy	Norcal Crew	16		norcal crew	07:14.1	OK	0.42	TRUE
4	58	Womens U17 Referee Cup LA84 Foundation Trophy	Austin	15	"Ueber, I."	austin	07:23.9	OK	2.7	TRUE
3	58	Womens U17 Referee Cup LA84 Foundation Trophy	Casitas Rowing	17		casitas rowing	07:41.2	OK	6.71	FALSE
5	58	Womens U17 Referee Cup LA84 Foundation Trophy	Dallas United B	15		dallas united crew	08:15.8	OK	14.7	FALSE
1	59	Mens U17 Shimano Rowing Dynamics Cup	Newport	16		newport	06:35.6	OK	0	TRUE
2	59	Mens U17 Shimano Rowing Dynamics Cup	Marin B	16	"Wilcox, B."	marin	06:38.6	OK	0.77	TRUE
3	59	Mens U17 Shimano Rowing Dynamics Cup	Norcal Crew	15		norcal crew	06:44.7	OK	2.31	TRUE
4	59	Mens U17 Shimano Rowing Dynamics Cup	Dallas United	16		dallas united crew	06:45.9	OK	2.61	TRUE
5	59	Mens U17 Shimano Rowing Dynamics Cup	Casitas Rowing	15		casitas rowing	07:17.8	OK	10.67	FALSE
1	60	Mens U17 Shimano Rowing Dynamics Cup	Marin A	16	"Ryan, H."	marin	06:21.3	OK	0	TRUE
2	60	Mens U17 Shimano Rowing Dynamics Cup	Long Beach Junior Crew	15	"Josephbek, C."	long beach junior crew	06:35.9	OK	3.82	TRUE
3	60	Mens U17 Shimano Rowing Dynamics Cup	San Diego RC	15		san diego rc	06:37.9	OK	4.34	TRUE
5	60	Mens U17 Shimano Rowing Dynamics Cup	CCHS Crew	16	"Wittman, H."	cchs crew	07:00.3	OK	10.22	FALSE
4	60	Mens U17 Shimano Rowing Dynamics Cup	Marina Aquatic Center	15		marina aquatic center	07:12.1	OK	13.33	FALSE
2	61	Womens Youth B ZLAC Rowing Club Cup	Newport A	17		newport	06:59.5	OK	0	TRUE
3	61	Womens Youth B ZLAC Rowing Club Cup	Capital	17		capital	07:13.7	OK	3.38	TRUE
5	61	Womens Youth B ZLAC Rowing Club Cup	Marin B	18		marin	07:16.3	OK	4.01	TRUE
1	61	Womens Youth B ZLAC Rowing Club Cup	San Diego RC	17		san diego rc	07:22.6	OK	5.52	FALSE
4	61	Womens Youth B ZLAC Rowing Club Cup	Sammamish	17		sammamish rowing association	07:26.1	OK	6.34	FALSE
6	61	Womens Youth B ZLAC Rowing Club Cup	River City	18		river city	07:33.6	OK	8.14	FALSE
7	61	Womens Youth B ZLAC Rowing Club Cup	Saint Ignatius	17	"Riad, D."	saint ignatius	07:40.5	OK	9.77	FALSE
1	62	Womens Youth B ZLAC Rowing Club Cup	Marin A	17	"Holtz, M."	marin	06:55.8	OK	0	TRUE
2	62	Womens Youth B ZLAC Rowing Club Cup	Saugatuck	17		saugatuck	07:10.6	OK	3.57	TRUE
3	62	Womens Youth B ZLAC Rowing Club Cup	Norcal Crew	24		norcal crew	07:18.3	OK	5.42	FALSE
6	62	Womens Youth B ZLAC Rowing Club Cup	Newport B	17		newport	07:23.5	OK	6.66	FALSE
7	62	Womens Youth B ZLAC Rowing Club Cup	Marina Aquatic Center	17		marina aquatic center	07:29.1	OK	8.01	FALSE
5	62	Womens Youth B ZLAC Rowing Club Cup	Pacific	16		pacific	07:51.2	OK	13.32	FALSE
4	62	Womens Youth B ZLAC Rowing Club Cup	Long Beach Junior Crew	16		long beach junior crew	07:54.1	OK	14.03	FALSE
3	63	Mens Youth B Jean Jessop Hervey Cup	Saugatuck	17		saugatuck	06:22.7	OK	0	TRUE
1	63	Mens Youth B Jean Jessop Hervey Cup	San Diego RC	17		san diego rc	06:24.2	OK	0.38	TRUE
2	63	Mens Youth B Jean Jessop Hervey Cup	Norcal Crew	17		norcal crew	06:25.7	OK	0.78	TRUE
4	63	Mens Youth B Jean Jessop Hervey Cup	Newport B	17		newport	06:26.2	OK	0.91	TRUE
5	63	Mens Youth B Jean Jessop Hervey Cup	Newport Sea Base	18		newport sea base rowing	06:39.3	OK	4.34	TRUE
6	63	Mens Youth B Jean Jessop Hervey Cup	Saint Ignatius	20		saint ignatius	06:59.1	OK	9.51	FALSE
1	64	Mens Youth B Jean Jessop Hervey Cup	Marin	17	"McMahon, W."	marin	06:17.7	OK	0	TRUE
2	64	Mens Youth B Jean Jessop Hervey Cup	Newport A	18		newport	06:20.2	OK	0.66	TRUE
4	64	Mens Youth B Jean Jessop Hervey Cup	Sammamish	19		sammamish rowing association	06:35.8	OK	4.78	TRUE
3	64	Mens Youth B Jean Jessop Hervey Cup	Pacific	16		pacific	06:38.1	OK	5.41	FALSE
6	64	Mens Youth B Jean Jessop Hervey Cup	Dallas United	17		dallas united crew	06:42.3	OK	6.51	FALSE
5	64	Mens Youth B Jean Jessop Hervey Cup	Marina Aquatic Center	17		marina aquatic center	06:45.9	OK	7.47	FALSE
2	65	Womens Concept2 Youth 4x	Redwood Scullers C	17	"Bollyky, G."	redwood scullers	07:44.2	OK	0	TRUE
4	65	Womens Concept2 Youth 4x	RowLA	17	"Goldstein, E."	rowla	07:46.7	OK	0.54	TRUE
1	65	Womens Concept2 Youth 4x	Lake Las Vegas	18		lake las vegas rowing club	08:06.6	OK	4.82	TRUE
3	65	Womens Concept2 Youth 4x	Austin	17	"Apostolakis, A."	austin	08:30.3	OK	9.93	FALSE
5	65	Womens Concept2 Youth 4x	Community Rowing SD	16		community rowing sd	11:02.9	OK	42.8	FALSE
2	66	Mens Youth 4x	Texas RC B	17		texas rowing center	07:02.4	OK	0	TRUE
3	66	Mens Youth 4x	Austin	17	"Miguel, R."	austin	07:06.5	OK	0.98	TRUE
1	66	Mens Youth 4x	River City	17	"Hoernlein, T."	river city	07:17.3	OK	3.53	TRUE
4	66	Mens Youth 4x	Lake Las Vegas	17		lake las vegas rowing club	07:17.9	OK	3.67	TRUE
3	67	Womens Youth Gilman-Mulliken Cup	Saint Ignatius	17	"Visser, G."	saint ignatius	07:22.3	OK	0	TRUE
2	67	Womens Youth Gilman-Mulliken Cup	River City	17		river city	07:23.1	OK	0.18	TRUE
1	67	Womens Youth Gilman-Mulliken Cup	Texas RC	17		texas rowing center	07:28.6	OK	1.42	TRUE
6	67	Womens Youth Gilman-Mulliken Cup	White Rock Rowing	17	"Fox, E."	white rock rowing	07:38.2	OK	3.59	TRUE
4	67	Womens Youth Gilman-Mulliken Cup	ZLAC	17		zlac	07:54.0	OK	7.16	FALSE
5	67	Womens Youth Gilman-Mulliken Cup	CCHS Crew	17	"Ewart, C."	cchs crew	08:01.0	OK	8.75	FALSE
2	68	Mens Youth San Diego Rowing Cup	Sammamish	17		sammamish rowing association	06:33.8	OK	0	TRUE
1	68	Mens Youth San Diego Rowing Cup	Saint Ignatius	18		saint ignatius	06:36.2	OK	0.59	TRUE
3	68	Mens Youth San Diego Rowing Cup	CCHS Crew	17	"Krich, G."	cchs crew	06:53.4	OK	4.96	FALSE
1	69	Womens U17 Referee Cup LA84 Foundation Trophy	San Diego RC	15		san diego rc	08:02.7	OK	0	TRUE
2	69	Womens U17 Referee Cup LA84 Foundation Trophy	Dallas United B	15		dallas united crew	08:32.7	OK	6.21	FALSE
1	72	Womens Concept2 Youth 4x	Los Gatos B	17		los gatos	07:29.8	OK	0	TRUE
5	72	Womens Concept2 Youth 4x	Maritime RC B	17		maritime rowing club	07:36.1	OK	1.41	TRUE
2	72	Womens Concept2 Youth 4x	Norcal Crew	17		norcal crew	07:37.8	OK	1.79	TRUE
4	72	Womens Concept2 Youth 4x	Texas RC	17		texas rowing center	07:41.9	OK	2.68	TRUE
6	72	Womens Concept2 Youth 4x	Casitas Rowing	19		casitas rowing	07:49.5	OK	4.39	TRUE
3	72	Womens Concept2 Youth 4x	Newport Sea Base B	17		newport sea base rowing	07:55.6	OK	5.75	FALSE
1	73	Womens Concept2 Youth 4x	Redwood Scullers A	17	"Phipps, C."	redwood scullers	07:07.1	OK	0	TRUE
2	73	Womens Concept2 Youth 4x	Los Gatos A	18		los gatos	07:13.0	OK	1.38	TRUE
5	73	Womens Concept2 Youth 4x	Long Beach Junior Crew	18		long beach junior crew	07:26.4	OK	4.52	TRUE
4	73	Womens Concept2 Youth 4x	Newport Sea Base A	17		newport sea base rowing	07:28.8	OK	5.07	TRUE
6	73	Womens Concept2 Youth 4x	Redwood Scullers B	17	"Ha, A."	redwood scullers	07:29.5	OK	5.23	FALSE
3	73	Womens Concept2 Youth 4x	Maritime RC A	18		maritime rowing club	07:29.9	OK	5.33	FALSE
3	74	Mens Youth 4x	Redwood Scullers B	17	"Perlroth, A."	redwood scullers	06:43.9	OK	0	TRUE
6	74	Mens Youth 4x	Maritime RC B	17		maritime rowing club	06:46.7	OK	0.68	TRUE
1	74	Mens Youth 4x	Casitas Rowing	17		casitas rowing	06:47.0	OK	0.75	TRUE
4	74	Mens Youth 4x	Los Gatos B	18	"Lasso, A."	los gatos	06:47.1	OK	0.79	TRUE
5	74	Mens Youth 4x	OARS	17		oars	06:48.9	OK	1.23	TRUE
7	74	Mens Youth 4x	Newport Sea Base B	19		newport sea base rowing	06:58.4	OK	3.59	TRUE
2	74	Mens Youth 4x	Capital	17		capital	07:07.0	OK	5.71	FALSE
1	75	Mens Youth 4x	Newport Sea Base A	22		newport sea base rowing	06:21.1	OK	0	TRUE
3	75	Mens Youth 4x	Los Gatos A	17	"Kramer, M."	los gatos	06:23.4	OK	0.59	TRUE
4	75	Mens Youth 4x	Artemis	17		artemis	06:28.4	OK	1.91	TRUE
5	75	Mens Youth 4x	Redwood Scullers A	17	"Vaksman, C."	redwood scullers	06:28.7	OK	1.98	TRUE
2	75	Mens Youth 4x	Maritime RC A	18		maritime rowing club	06:32.5	OK	2.99	TRUE
7	75	Mens Youth 4x	Texas RC A	17		texas rowing center	06:34.8	OK	3.58	TRUE
6	75	Mens Youth 4x	Long Beach Junior Crew	17	"Griffin, T."	long beach junior crew	06:42.2	OK	5.52	FALSE
1	76	Womens U16 8+	Marin	14	"Ellington, B."	marin	07:26.4	OK	0	TRUE
2	76	Womens U16 8+	Newport Sea Base	14		newport sea base rowing	07:46.8	OK	4.57	TRUE
3	76	Womens U16 8+	Norcal Crew	14		norcal crew	08:00.2	OK	7.58	FALSE
4	76	Womens U16 8+	CCHS Crew	15	"Galluccio, S."	cchs crew	08:17.1	OK	11.35	FALSE
1	77	Mens U16 8+ Rose Cup	Marin	14	"Fasano, N."	marin	06:43.6	OK	0	TRUE
2	77	Mens U16 8+ Rose Cup	Pacific	19		pacific	06:49.1	OK	1.35	TRUE
5	77	Mens U16 8+ Rose Cup	Norcal Crew	14		norcal crew	06:59.2	OK	3.85	TRUE
3	77	Mens U16 8+ Rose Cup	Long Beach Junior Crew	15	"Price, K."	long beach junior crew	07:03.7	OK	4.98	TRUE
4	77	Mens U16 8+ Rose Cup	Dallas United	14		dallas united crew	07:51.6	OK	16.85	FALSE
1	78	Womens U16 Ulster Challenge Cup 4x+	Maritime RC	15		maritime rowing club	08:03.3	OK	0	TRUE
2	78	Womens U16 Ulster Challenge Cup 4x+	Redwood Scullers	14	"Naveen, A."	redwood scullers	08:25.5	OK	4.58	TRUE
3	78	Womens U16 Ulster Challenge Cup 4x+	Norcal Crew	15		norcal crew	09:57.0	OK	23.51	FALSE
2	79	Mens U16 4x+	OARS	24		oars	07:36.1	OK	0	TRUE
1	79	Mens U16 4x+	Newport Sea Base	14		newport sea base rowing	07:37.2	OK	0.23	TRUE
5	79	Mens U16 4x+	Norcal Crew	14		norcal crew	08:02.7	OK	5.83	FALSE
4	79	Mens U16 4x+	CCHS Crew	15	"MacNab, J."	cchs crew	08:07.4	OK	6.85	FALSE
3	79	Mens U16 4x+	Lake Las Vegas	14		lake las vegas rowing club	08:37.6	OK	13.49	FALSE
1	80	Womens U17 4x	Norcal Crew	16		norcal crew	08:24.6	OK	0	TRUE
2	80	Womens U17 4x	Lake Las Vegas	15		lake las vegas rowing club	08:31.9	OK	1.46	TRUE
1	81	Womens U17 4x	Redwood Scullers A	15	"PETRI, O."	redwood scullers	07:34.1	OK	0	TRUE
3	81	Womens U17 4x	Los Gatos	16	"Sivi, A."	los gatos	07:41.4	OK	1.59	TRUE
2	81	Womens U17 4x	Connecticut	16		connecticut	07:46.0	OK	2.61	TRUE
6	81	Womens U17 4x	Maritime RC	15		maritime rowing club	07:53.3	OK	4.22	TRUE
4	81	Womens U17 4x	Redwood Scullers B	16	"Khawaja, F."	redwood scullers	08:05.0	OK	6.81	FALSE
5	81	Womens U17 4x	Texas RC	15		texas rowing center	08:05.4	OK	6.88	FALSE
2	82	Mens U17 4x	Los Gatos B	16	"Yoo, D."	los gatos	07:16.6	OK	0	TRUE
1	82	Mens U17 4x	Austin	15	"Engler, G."	austin	09:14.4	OK	26.99	FALSE
1	83	Mens U17 4x	Maritime RC A	16		maritime rowing club	06:46.3	OK	0	TRUE
2	83	Mens U17 4x	Maritime RC B	16		maritime rowing club	06:53.0	OK	1.63	TRUE
3	83	Mens U17 4x	Los Gatos A	16	"Shetler, L."	los gatos	06:53.4	OK	1.73	TRUE
6	83	Mens U17 4x	OARS	15		oars	06:58.1	OK	2.88	TRUE
4	83	Mens U17 4x	Redwood Scullers	15	"Gurenkov, D."	redwood scullers	06:59.5	OK	3.25	TRUE
5	83	Mens U17 4x	River City	15	"Davids, B."	river city	07:16.2	OK	7.35	FALSE
1	84	Womens Collegiate Varsity Jessop-Whittier Cup Invitational	Texas Austin	21		texas austin	06:26.3	OK	0	TRUE
2	84	Womens Collegiate Varsity Jessop-Whittier Cup Invitational	California	21		california	06:32.8	OK	1.69	TRUE
3	84	Womens Collegiate Varsity Jessop-Whittier Cup Invitational	Washington	23	"Cossill, E."	washington	06:34.7	OK	2.17	TRUE
4	84	Womens Collegiate Varsity Jessop-Whittier Cup Invitational	USC	22		usc women	06:37.2	OK	2.84	TRUE
5	84	Womens Collegiate Varsity Jessop-Whittier Cup Invitational	UCLA	21		ucla	06:46.8	OK	5.32	FALSE
2	86	Womens Grace Rett Memorial Collegiate Varsity DII/III/Club	Purdue	22		purdue	07:07.7	OK	0	TRUE
3	86	Womens Grace Rett Memorial Collegiate Varsity DII/III/Club	U of Calgary RC	24		u of calgary rc	07:13.1	OK	1.26	TRUE
1	86	Womens Grace Rett Memorial Collegiate Varsity DII/III/Club	UC Santa Barbara	21		uc santa barbara	07:19.6	OK	2.78	TRUE
4	86	Womens Grace Rett Memorial Collegiate Varsity DII/III/Club	Colorado	20		colorado	07:47.9	OK	9.38	FALSE
1	87	Womens Collegiate Varsity UCSD Health Cal Cup	Old Dominion	22	"Carlisle, A."	old dominion - women	07:00.1	OK	0	TRUE
5	87	Womens Collegiate Varsity UCSD Health Cal Cup	Portland	21		university of portland	07:06.7	OK	1.57	TRUE
3	87	Womens Collegiate Varsity UCSD Health Cal Cup	Loyola Marymount	21		loyola marymount	07:07.4	OK	1.74	TRUE
2	87	Womens Collegiate Varsity UCSD Health Cal Cup	MIT (LTWT)	21	"Love, K."	mit	07:09.2	OK	2.17	TRUE
6	87	Womens Collegiate Varsity UCSD Health Cal Cup	Marist	21		marist	07:12.1	OK	2.85	TRUE
4	87	Womens Collegiate Varsity UCSD Health Cal Cup	Bates	21		bates college	07:13.4	OK	3.17	TRUE
7	87	Womens Collegiate Varsity UCSD Health Cal Cup	SeattleU	21	"Logan, C."	seattleu	07:15.4	OK	3.64	TRUE
2	88	Womens Collegiate Varsity UCSD Health Cal Cup	Stanford			stanford - women	06:42.8	OK	0	TRUE
4	88	Womens Collegiate Varsity UCSD Health Cal Cup	Gonzaga	20		gonzaga	06:50.3	OK	1.85	TRUE
6	88	Womens Collegiate Varsity UCSD Health Cal Cup	Sacramento St	22	"YOUNG, H."	sacramento state	06:56.6	OK	3.42	TRUE
3	88	Womens Collegiate Varsity UCSD Health Cal Cup	Oklahoma	22		oklahoma	07:00.2	OK	4.31	TRUE
5	88	Womens Collegiate Varsity UCSD Health Cal Cup	UC San Diego	20		uc san diego	07:02.6	OK	4.91	TRUE
1	88	Womens Collegiate Varsity UCSD Health Cal Cup	San Diego	21		san diego	07:03.2	OK	5.05	FALSE
7	88	Womens Collegiate Varsity UCSD Health Cal Cup	MIT	20		mit	07:04.2	OK	5.3	FALSE
1	91	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	San Diego	21		san diego	08:13.2	OK	0	TRUE
2	91	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	UC San Diego	20		uc san diego	08:21.3	OK	1.64	TRUE
3	91	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	MIT	23		mit	08:23.1	OK	2.01	TRUE
6	91	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Portland	20		university of portland	08:24.8	OK	2.36	TRUE
5	91	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Sacramento St	19	"Nixon, B."	sacramento state	08:33.3	OK	4.07	TRUE
4	91	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Old Dominion	22	"Hoff, A."	old dominion - women	08:34.2	OK	4.25	TRUE
2	92	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Texas Austin	29		texas austin	07:27.7	OK	0	TRUE
1	92	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	USC	19		usc women	07:32.5	OK	1.07	TRUE
4	92	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	California	20		california	07:39.9	OK	2.72	TRUE
3	92	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Washington	21	"McNamara-Smith, C."	washington	07:49.7	OK	4.9	TRUE
5	92	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Oklahoma	22		oklahoma	08:02.3	OK	7.71	FALSE
6	92	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Gonzaga	19		gonzaga	08:02.9	OK	7.85	FALSE
7	92	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	UCLA	19		ucla	08:07.8	OK	8.94	FALSE
1	93	Mens Collegiate 3V	UC San Diego	20		uc san diego	06:40.2	OK	0	TRUE
2	93	Mens Collegiate 3V	MIT	20		mit	06:58.1	OK	4.47	TRUE
3	93	Mens Collegiate 3V	Bates	20		bates college	07:06.5	OK	6.57	FALSE
2	94	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	UC San Diego	20		uc san diego	07:16.1	OK	0	TRUE
1	94	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	San Diego	20		san diego	07:16.2	OK	0.04	TRUE
3	94	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Sacramento St	20	"Goddard, W."	sacramento state	07:16.2	OK	0.04	TRUE
4	94	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Loyola Marymount	21		loyola marymount	07:18.5	OK	0.56	TRUE
6	94	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	MIT	20		mit	07:23.4	OK	1.69	TRUE
5	94	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Marist	21		marist	07:24.2	OK	1.88	TRUE
8	94	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Bates	20		bates college	07:26.4	OK	2.37	TRUE
