# ************************************										
# Regatta Timing Export File										
# Generated on 03/25/22										
# Rules: 										
# 	All Data Copyright by Regatta Timing (C) 2000-2022									
# 	Unless otherwise noted									
# ************************************										
bowNumber	eventCode	eventName	entryName	avgAge	strokeName	orgName	officialTime	resultStatus	eventPercent	top5Percent
2	5	Womens Masters C 8+ (43-49) Margi Fetter Graham Trophy	Texas RC	43		texas rowing center	07:41.2	OK	4.39	TRUE
1	5	Womens Masters C 8+ (43-49) Margi Fetter Graham Trophy	San Diego RC	43	"Ahlman, S."	san diego rc	07:50.3	OK	6.46	FALSE
5	5	Womens Masters C 8+ (43-49) Margi Fetter Graham Trophy	Lake Union	44	"Hein, N."	lake union	07:51.6	OK	6.75	FALSE
4	5	Womens Masters C 8+ (43-49) Margi Fetter Graham Trophy	Station L	43	"Walker, S."	station l	08:05.0	OK	9.78	FALSE
2	6	Mens Masters C 8+ (43-49) Coach Del Beekley Volunteer Cup	Palm Beach	49	"Morelli, P."	palm beach	06:52.7	OK	0	TRUE
1	6	Mens Masters C 8+ (43-49) Coach Del Beekley Volunteer Cup	San Diego RC	47	"Johnson, R."	san diego rc	07:44.0	OK	12.43	FALSE
3	6	Mens Masters C 8+ (43-49) Coach Del Beekley Volunteer Cup	Pacific	54	"Kirby, M."	pacific	07:47.9	OK	13.36	FALSE
3	7	"Womens Masters D 8+ (50-54) Waddell & Reed, Inc. Cup"	Sarasota	53	"Corbett-Brown, L."	sarasota crew	07:37.4	OK	0	TRUE
2	7	"Womens Masters D 8+ (50-54) Waddell & Reed, Inc. Cup"	Endeavor Racing Alliance	50	"McCormick, E."	endeavor racing alliance	07:40.5	OK	0.67	TRUE
1	7	"Womens Masters D 8+ (50-54) Waddell & Reed, Inc. Cup"	College Club Seattle	50	"Scull, C."	college club seattle	07:42.5	OK	1.11	TRUE
4	7	"Womens Masters D 8+ (50-54) Waddell & Reed, Inc. Cup"	ZLAC	50	"Gregory, A."	zlac	07:58.9	OK	4.7	TRUE
6	7	"Womens Masters D 8+ (50-54) Waddell & Reed, Inc. Cup"	Los Angeles	50	"Davis, K."	los angeles	08:21.9	OK	9.73	FALSE
5	7	"Womens Masters D 8+ (50-54) Waddell & Reed, Inc. Cup"	Long Beach	55	"Bonuso, N."	long beach		Scratch	null	FALSE
1	8	Mens Masters D 8+ (50-54) Founders Trophy	Unaff. (CAN)	56	"Forgeron, M."	unaff. (can)	06:46.8	OK	0	TRUE
