Sort Order,Place,Event Type,Event,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
1,1,,Men's Cal Cup Heat A,Minnesota,06:16.70,,,,,,,,,
2,2,,Men's Cal Cup Heat A,UCSD,06:23.02,,,,,,,,,
3,3,,Men's Cal Cup Heat A,Gonzaga,06:23.19,,,,,,,,,
4,4,,Men's Cal Cup Heat A,Santa Clara,06:29.44,,,,,,,,,
5,5,,Men's Cal Cup Heat A,Loyola,06:31.47,,,,,,,,,
6,6,,Men's Cal Cup Heat A,St. Marys,06:33.05,,,,,,,,,
7,,,Men's Cal Cup Heat A,,,,,,,,,,,
8,1,,Men's Cal Cup Heat B,Orange Coast,06:16.16,,,,,,,,,
9,2,,Men's Cal Cup Heat B,SDSU,06:25.90,,,,,,,,,
10,3,,Men's Cal Cup Heat B,Texas,06:26.17,,,,,,,,,
11,4,,Men's Cal Cup Heat B,Rollins,06:32.25,,,,,,,,,
12,5,,Men's Cal Cup Heat B,USD,06:36.24,,,,,,,,,
13,6,,Men's Cal Cup Heat B,UCSB,06:44.30,,,,,,,,,
14,,,Men's Cal Cup Heat B,LB State ,Scratched,,,,,,,,,
15,,,Men's Cal Cup Heat B,,,,,,,,,,,
16,1,,Men's Cal Cup Heat C,UCI,06:20.20,,,,,,,,,
17,2,,Men's Cal Cup Heat C,Colorado,06:21.47,,,,,,,,,
18,3,,Men's Cal Cup Heat C,USC,06:21.66,,,,,,,,,
19,4,,Men's Cal Cup Heat C,Wash State,06:22.45,,,,,,,,,
20,5,,Men's Cal Cup Heat C,UCLA,06:23.25,,,,,,,,,
21,6,,Men's Cal Cup Heat C,Arizona,06:58.03,,,,,,,,,
22,,,Men's Cal Cup Heat C,,,,,,,,,,,
23,1,,Women's Cal Cup Heat A,Miami,06:56.40,,,,,,,,,
24,2,,Women's Cal Cup Heat A,Clemson,06:57.59,,,,,,,,,
25,3,,Women's Cal Cup Heat A,UC Davis,07:02.64,,,,,,,,,
26,4,,Women's Cal Cup Heat A,Sac State,07:04.72,,,,,,,,,
27,5,,Women's Cal Cup Heat A,SDSU,07:15.23,,,,,,,,,
28,6,,Women's Cal Cup Heat A,Santa Clara,07:15.85,,,,,,,,,
29,7,,Women's Cal Cup Heat A,Rollins,07:43.01,,,,,,,,,
30,,,Women's Cal Cup Heat A,,,,,,,,,,,
31,1,,Women's Cal Cup Heat B,Loyola,06:51.60,,,,,,,,,
32,2,,Women's Cal Cup Heat B,Navy,07:00.02,,,,,,,,,
33,3,,Women's Cal Cup Heat B,St. Josephs,07:00.27,,,,,,,,,
34,4,,Women's Cal Cup Heat B,K State,07:01.60,,,,,,,,,
35,5,,Women's Cal Cup Heat B,Gonzaga,07:03.24,,,,,,,,,
36,6,,Women's Cal Cup Heat B,Colgate,07:06.21,,,,,,,,,
37,7,,Women's Cal Cup Heat B,UCI,07:20.81,,,,,,,,,
38,,,Women's Cal Cup Heat B,,,,,,,,,,,
39,1,,Women's Cal Cup Heat C,UCLA,06:53.83,,,,,,,,,
40,2,,Women's Cal Cup Heat C,Louisville,06:56.88,,,,,,,,,
41,3,,Women's Cal Cup Heat C,Central Florida,06:57.70,,,,,,,,,
42,4,,Women's Cal Cup Heat C,SMU,07:02.06,,,,,,,,,
43,5,,Women's Cal Cup Heat C,USD,07:05.63,,,,,,,,,
44,6,,Women's Cal Cup Heat C,Temple,07:07.97,,,,,,,,,
45,7,,Women's Cal Cup Heat C,St. Marys,07:24.09,,,,,,,,,
46,,,Women's Cal Cup Heat C,,,,,,,,,,,
47,1,,Copley Cup Heat A,Cal,05:58.60,,,,,,,,,
48,2,,Copley Cup Heat A,Oregon State,06:00.14,,,,,,,,,
49,3,,Copley Cup Heat A,Stanford,06:04.95,,,,,,,,,
50,4,,Copley Cup Heat A,Purdue,06:05.60,,,,,,,,,
51,5,,Copley Cup Heat A,Colgate,06:14.87,,,,,,,,,
52,,,Copley Cup Heat A,,,,,,,,,,,
53,1,,Copley Cup Heat B,Washington,05:54.80,,,,,,,,,
54,2,,Copley Cup Heat B,Northeastern,05:55.99,,,,,,,,,
55,3,,Copley Cup Heat B,Temple,06:03.23,,,,,,,,,
56,4,,Copley Cup Heat B,UC Davis,06:09.70,,,,,,,,,
57,5,,Copley Cup Heat B,Sac State,06:20.31,,,,,,,,,
58,,,Copley Cup Heat B,,,,,,,,,,,
59,1,,Jessop-Whittier Cup Heat A,Tennessee,06:38.50,,,,,,,,,
60,2,,Jessop-Whittier Cup Heat A,Wash State,06:39.19,,,,,,,,,
61,3,,Jessop-Whittier Cup Heat A,USC,06:39.69,,,,,,,,,
62,3,,Jessop-Whittier Cup Heat A,Notre Dame,06:39.69,,,,,,,,,
63,4,,Jessop-Whittier Cup Heat A,Stanford,06:43.78,,,,,,,,,
64,5,,Jessop-Whittier Cup Heat A,Villanova,06:49.15,,,,,,,,,
65,6,,Jessop-Whittier Cup Heat A,Purdue,07:01.41,,,,,,,,,
66,,,Jessop-Whittier Cup Heat A,,,,,,,,,,,
67,1,,Jessop-Whittier Cup Heat B,Washington,06:35.80,,,,,,,,,
68,2,,Jessop-Whittier Cup Heat B,Cal,06:37.40,,,,,,,,,
69,3,,Jessop-Whittier Cup Heat B,Wisconsin,06:42.30,,,,,,,,,
70,4,,Jessop-Whittier Cup Heat B,Texas,06:46.84,,,,,,,,,
71,5,,Jessop-Whittier Cup Heat B,Oregon,06:47.96,,,,,,,,,
72,6,,Jessop-Whittier Cup Heat B,Fordham,06:56.29,,,,,,,,,
73,7,,Jessop-Whittier Cup Heat B,West Virginia,07:04.82,,,,,,,,,
74,,,Jessop-Whittier Cup Heat B,,,,,,,,,,,
75,1,,Men's Collegiate Lt Preliminary,Purdue,06:15.83,,,,,,,,,
76,2,,Men's Collegiate Lt Preliminary,Cal,12:06:17 AM,,,,,,,,,
77,3,,Men's Collegiate Lt Preliminary,UC Davis,06:19.78,,,,,,,,,
78,4,,Men's Collegiate Lt Preliminary,USB,06:21.84,,,,,,,,,
79,5,,Men's Collegiate Lt Preliminary,Minnesota,06:26.76,,,,,,,,,
80,6,,Men's Collegiate Lt Preliminary,Orange,06:32.16,,,,,,,,,
81,7,,Men's Collegiate Lt Preliminary,SDSU,06:54.24,,,,,,,,,
82,,,Men's Collegiate Lt Preliminary,,,,,,,,,,,
83,1,,Women's Collegiate Lt Heat A,Wisconsin,07:04.50,,,,,,,,,
84,2,,Women's Collegiate Lt Heat A,SDSU,07:16.57,,,,,,,,,
85,3,,Women's Collegiate Lt Heat A,Cal,07:17.79,,,,,,,,,
86,4,,Women's Collegiate Lt Heat A,Stanford B,07:54.64,,,,,,,,,
87,,,Women's Collegiate Lt Heat A,,,,,,,,,,,
88,1,,Women's Collegiate Lt Heat B,Stanford A,07:06.60,,,,,,,,,
89,2,,Women's Collegiate Lt Heat B,UCF,07:11.17,,,,,,,,,
90,3,,Women's Collegiate Lt Heat B,Purdue,07:13.95,,,,,,,,,
91,4,,Women's Collegiate Lt Heat B,UCSD,07:47.88,,,,,,,,,
92,,,Women's Collegiate Lt Heat B,,,,,,,,,,,
93,1,,Men's Collegiate Novice Heat A,Cal A,6:031,,,,,,,,,
94,2,,Men's Collegiate Novice Heat A,Washington,06:20.09,,,,,,,,,
95,3,,Men's Collegiate Novice Heat A,Santa Clara,06:27.57,,,,,,,,,
96,4,,Men's Collegiate Novice Heat A,UC Davis B,06:33.09,,,,,,,,,
97,5,,Men's Collegiate Novice Heat A,UCLA,06:38.81,,,,,,,,,
98,6,,Men's Collegiate Novice Heat A,St. Marys,07:09.78,,,,,,,,,
99,7,,Men's Collegiate Novice Heat A,Arizona State,07:29.02,,,,,,,,,
100,,,Men's Collegiate Novice Heat A,,,,,,,,,,,
101,1,,Men's Collegiate Novice Heat B,Stanford,06:14.52,,,,,,,,,
102,2,,Men's Collegiate Novice Heat B,USC,06:20.56,,,,,,,,,
103,3,,Men's Collegiate Novice Heat B,Orange Coast,12:06:21 AM,,,,,,,,,
104,4,,Men's Collegiate Novice Heat B,Cal B,06:25.37,,,,,,,,,
105,5,,Men's Collegiate Novice Heat B,UCSD,06:27.49,,,,,,,,,
106,6,,Men's Collegiate Novice Heat B,Sonoma State,07:04.79,,,,,,,,,
107,,,Men's Collegiate Novice Heat B,LB State,Scratched,,,,,,,,,
108,,,Men's Collegiate Novice Heat B,,,,,,,,,,,
109,1,,Men's Collegiate Novice Heat C,Oregon State,06:20.30,,,,,,,,,
110,2,,Men's Collegiate Novice Heat C,UC Davis A,06:31.99,,,,,,,,,
111,3,,Men's Collegiate Novice Heat C,Wash State,06:35.73,,,,,,,,,
112,4,,Men's Collegiate Novice Heat C,UCI,06:38.63,,,,,,,,,
113,5,,Men's Collegiate Novice Heat C,Sac State,06:43.05,,,,,,,,,
114,6,,Men's Collegiate Novice Heat C,UCSB,06:59.79,,,,,,,,,
115,,,Men's Collegiate Novice Heat C,,,,,,,,,,,
116,1,,Women's JV Heat A,Wash State,06:49.40,,,,,,,,,
117,2,,Women's JV Heat A,Wisconsin,06:54.07,,,,,,,,,
118,3,,Women's JV Heat A,UCLA,07:06.66,,,,,,,,,
119,4,,Women's JV Heat A,Stanford,07:06.76,,,,,,,,,
120,5,,Women's JV Heat A,Sac State,07:14.85,,,,,,,,,
121,6,,Women's JV Heat A,Loyola,07:16.60,,,,,,,,,
122,7,,Women's JV Heat A,SMU,07:31.04,,,,,,,,,
123,,,Women's JV Heat A,,,,,,,,,,,
124,1,,Women's JV Heat B,Washington,06:52.20,,,,,,,,,
125,2,,Women's JV Heat B,Oregon State,06:56.09,,,,,,,,,
126,3,,Women's JV Heat B,Texas,06:57.45,,,,,,,,,
127,4,,Women's JV Heat B,Kansas State,07:14.86,,,,,,,,,
128,5,,Women's JV Heat B,SDSU,07:17.76,,,,,,,,,
129,6,,Women's JV Heat B,USD,07:27.69,,,,,,,,,
130,7,,Women's JV Heat B,UCSB,07:40.97,,,,,,,,,
131,,,Women's JV Heat B,,,,,,,,,,,
132,1,,Women's JV Heat C,Cal,06:51.19,,,,,,,,,
133,2,,Women's JV Heat C,USC,06:57.89,,,,,,,,,
134,3,,Women's JV Heat C,Notre Dame,07:08.99,,,,,,,,,
135,4,,Women's JV Heat C,Clemson,07:15.21,,,,,,,,,
136,5,,Women's JV Heat C,St. Josephs,07:22.61,,,,,,,,,
137,6,,Women's JV Heat C,UCI,07:42.35,,,,,,,,,
138,,,Women's JV Heat C,,,,,,,,,,,
139,1,,Men's JV Heat A,Cal,06:15.30,,,,,,,,,
140,2,,Men's JV Heat A,Minnesota,06:31.65,,,,,,,,,
141,3,,Men's JV Heat A,Orange Coast,06:34.98,,,,,,,,,
142,4,,Men's JV Heat A,UCSD,06:45.68,,,,,,,,,
143,5,,Men's JV Heat A,Santa Clara,06:48.52,,,,,,,,,
144,6,,Men's JV Heat A,UCLA,06:52.12,,,,,,,,,
145,,,Men's JV Heat A,,,,,,,,,,,
146,1,,Men's JV Heat B,Washington,06:34.20,,,,,,,,,
147,2,,Men's JV Heat B,Oregon State,06:38.63,,,,,,,,,
148,3,,Men's JV Heat B,UC Davis,07:03.03,,,,,,,,,
149,4,,Men's JV Heat B,UCI,07:18.83,,,,,,,,,
150,5,,Men's JV Heat B,SDSU,07:21.43,,,,,,,,,
151,,,Men's JV Heat B,,,,,,,,,,,
152,1,,Women's Collegiate Novice Heat A,Washington,07:10.56,,,,,,,,,
153,2,,Women's Collegiate Novice Heat A,UCLA,07:19.20,,,,,,,,,
154,3,,Women's Collegiate Novice Heat A,UC Davis,07:25.27,,,,,,,,,
155,4,,Women's Collegiate Novice Heat A,USC,07:29.85,,,,,,,,,
156,5,,Women's Collegiate Novice Heat A,SDSU,07:32.12,,,,,,,,,
157,6,,Women's Collegiate Novice Heat A,Sonoma State,07:57.89,,,,,,,,,
158,7,,Women's Collegiate Novice Heat A,Chapman,08:07.05,,,,,,,,,
159,,,Women's Collegiate Novice Heat A,,,,,,,,,,,
160,1,,Women's Collegiate Novice Heat B,Oregon State,07:13.30,,,,,,,,,
161,2,,Women's Collegiate Novice Heat B,Washington,07:14.65,,,,,,,,,
162,3,,Women's Collegiate Novice Heat B,Texas,07:26.19,,,,,,,,,
163,4,,Women's Collegiate Novice Heat B,USD A,07:37.60,,,,,,,,,
164,5,,Women's Collegiate Novice Heat B,UCSD,07:44.48,,,,,,,,,
165,6,,Women's Collegiate Novice Heat B,Santa Clara,07:47.10,,,,,,,,,
166,7,,Women's Collegiate Novice Heat B,Arizona State,07:59.66,,,,,,,,,
167,,,Women's Collegiate Novice Heat B,,,,,,,,,,,
168,1,,Women's Collegiate Novice Heat C,Cal,07:10.60,,,,,,,,,
169,2,,Women's Collegiate Novice Heat C,Clemson,07:11.93,,,,,,,,,
170,3,,Women's Collegiate Novice Heat C,Wisconsin,07:23.40,,,,,,,,,
171,4,,Women's Collegiate Novice Heat C,UCI,07:43.20,,,,,,,,,
172,5,,Women's Collegiate Novice Heat C,Sac State,07:47.10,,,,,,,,,
173,6,,Women's Collegiate Novice Heat C,UCSB,07:48.03,,,,,,,,,
174,7,,Women's Collegiate Novice Heat C,USD B,08:11.47,,,,,,,,,
175,,,Women's Collegiate Novice Heat C,,,,,,,,,,,
176,1,,Men's Junior Heat A,Pacific,06:31.80,,,,,,,,,
177,2,,Men's Junior Heat A,Marin,06:35.09,,,,,,,,,
178,3,,Men's Junior Heat A,Osnabruck,06:37.89,,,,,,,,,
179,4,,Men's Junior Heat A,Lakeside,06:39.09,,,,,,,,,
180,5,,Men's Junior Heat A,LBRA,06:41.33,,,,,,,,,
181,,,Men's Junior Heat A,Los Gatos B,Scratched,,,,,,,,,
182,,,Men's Junior Heat A,,,,,,,,,,,
183,1,,Men's Junior Heat B,Capital,06:27.50,,,,,,,,,
184,2,,Men's Junior Heat B,Oakland,06:28.53,,,,,,,,,
185,3,,Men's Junior Heat B,St. Ignatius,06:29.23,,,,,,,,,
186,4,,Men's Junior Heat B,Oregon RA,06:52.34,,,,,,,,,
187,5,,Men's Junior Heat B,River City,06:59.72,,,,,,,,,
188,6,,Men's Junior Heat B,Stanford RC,07:41.89,,,,,,,,,
189,,,Men's Junior Heat B,,,,,,,,,,,
190,1,,Men's Junior Heat C,Oregon RU,06:33.40,,,,,,,,,
191,2,,Men's Junior Heat C,Los Gatos A,06:34.77,,,,,,,,,
192,3,,Men's Junior Heat C,Newport AC,06:40.13,,,,,,,,,
193,4,,Men's Junior Heat C,Berkeley,06:44.10,,,,,,,,,
194,5,,Men's Junior Heat C,SDRC,06:56.90,,,,,,,,,
195,6,,Men's Junior Heat C,Serra HS,07:00.03,,,,,,,,,
196,,,Men's Junior Heat C,,,,,,,,,,,
197,1,,Women's Junior Heat A,Marin,07:05.90,,,,,,,,,
198,2,,Women's Junior Heat A,Oregon RU,07:18.14,,,,,,,,,
199,3,,Women's Junior Heat A,St. Ignatius,07:24.75,,,,,,,,,
200,4,,Women's Junior Heat A,SDRC,07:24.94,,,,,,,,,
201,5,,Women's Junior Heat A,LBRA,07:31.01,,,,,,,,,
202,6,,Women's Junior Heat A,Ashland HS,07:41.97,,,,,,,,,
203,7,,Women's Junior Heat A,ZLAC,07:42.57,,,,,,,,,
204,,,Women's Junior Heat A,,,,,,,,,,,
205,1,,Women's Junior Heat B,Oakland,06:59.60,,,,,,,,,
206,2,,Women's Junior Heat B,Capital,07:06.81,,,,,,,,,
207,3,,Women's Junior Heat B,Los Gatos,07:07.49,,,,,,,,,
208,4,,Women's Junior Heat B,Berkeley,07:33.29,,,,,,,,,
209,5,,Women's Junior Heat B,Oregon AR,07:40.33,,,,,,,,,
210,6,,Women's Junior Heat B,Rio Salado,07:41.60,,,,,,,,,
211,7,,Women's Junior Heat B,Peninsula AC,07:41.80,,,,,,,,,
212,,,Women's Junior Heat B,,,,,,,,,,,
213,1,,Women's Junior Heat C,Lakeside,07:08.17,,,,,,,,,
214,2,,Women's Junior Heat C,Newport AC,07:10.95,,,,,,,,,
215,3,,Women's Junior Heat C,Holy Names,07:11.34,,,,,,,,,
216,4,,Women's Junior Heat C,Silicon Valley,07:26.74,,,,,,,,,
217,5,,Women's Junior Heat C,River City,07:29.40,,,,,,,,,
218,6,,Women's Junior Heat C,Marina AC,07:34.91,,,,,,,,,
219,7,,Women's Junior Heat C,Xavier,07:44.77,,,,,,,,,
220,,,Women's Junior Heat C,,,,,,,,,,,
221,1,Subaru Masters Series Volunteer Trophy ,Men's Masters C Final,Rocky Mtn,06:33.20,Dave Rugolo,Mark Stormberg,Phil Stekl,Dan Jackson,Steve Keisting,Eric Stevens,Mike Gasper,David Gleeson,Greg Springer
222,2,,Men's Masters C Final,Marin,06:52.13,,,,,,,,,
223,3,,Men's Masters C Final,Union,06:58.93,,,,,,,,,
224,4,,Men's Masters C Final,LBRA,07:17.73,,,,,,,,,
225,5,,Men's Masters C Final,SDRC,07:22.60,,,,,,,,,
226,6,,Men's Masters C Final,Fat Turtles,07:34.13,,,,,,,,,
227,7,,Men's Masters C Final,Serendipity,07:39.19,,,,,,,,,
228,,,Men's Masters C Final,,,,,,,,,,,
229,1,Subaru Masters Series Margi Fetter Graham Trophy ,Women's Masters C Final,Picnic Point,07:18.70,Mary Elizabeth O'Malley,Peggy Baily,Amy Scott,Tia Fisher,Alison Graves,Kris Thorsness,Carie Graves,Gabriele Crvollone,Linda Buchman
230,2,,Women's Masters C Final,LB Composite,07:27.44,,,,,,,,,
231,3,,Women's Masters C Final,Willamette,07:31.69,,,,,,,,,
232,4,,Women's Masters C Final,Marin,07:48.64,,,,,,,,,
233,5,,Women's Masters C Final,Conibear,07:49.79,,,,,,,,,
234,6,,Women's Masters C Final,ZLAC,08:24.03,,,,,,,,,
235,7,,Women's Masters C Final,River City,08:36.12,,,,,,,,,
236,,,Women's Masters C Final,,,,,,,,,,,
237,1,,Women's Open Heat A,Lookout,07:11.40,,,,,,,,,
238,2,,Women's Open Heat A,Cal,07:13.92,,,,,,,,,
239,3,,Women's Open Heat A,USC,07:16.99,,,,,,,,,
240,4,,Women's Open Heat A,Texas,07:48.21,,,,,,,,,
241,5,,Women's Open Heat A,USD Alum,08:07.13,,,,,,,,,
242,6,,Women's Open Heat A,UCSB A,08:09.12,,,,,,,,,
243,7,,Women's Open Heat A,Chapman,08:27.21,,,,,,,,,
244,,,Women's Open Heat A,,,,,,,,,,,
245,1,,Women's Open Heat B,USC Alumnae,07:19.60,,,,,,,,,
246,2,,Women's Open Heat B,UCSB B,07:31.72,,,,,,,,,
247,3,,Women's Open Heat B,Lake Union,07:51.48,,,,,,,,,
248,4,,Women's Open Heat B,UCI Alumni,07:58.24,,,,,,,,,
249,5,,Women's Open Heat B,UCSD,08:02.32,,,,,,,,,
250,6,,Women's Open Heat B,Row As One,08:26.52,,,,,,,,,
251,7,,Women's Open Heat B,Avalon,08:48.68,,,,,,,,,
252,,,Women's Open Heat B,,,,,,,,,,,
253,1,,Women's Open Heat C,SDRC,12:07:27 AM,,,,,,,,,
254,2,,Women's Open Heat C,Stanford,07:32.07,,,,,,,,,
255,3,,Women's Open Heat C,Bair Island,07:41.07,,,,,,,,,
256,4,,Women's Open Heat C,Sac State,07:48.85,,,,,,,,,
257,5,,Women's Open Heat C,Tempe,07:58.47,,,,,,,,,
258,6,,Women's Open Heat C,River City,07:58.58,,,,,,,,,
259,7,,Women's Open Heat C,Newport AC,12:09:12 AM,,,,,,,,,
260,,,Women's Open Heat C,,,,,,,,,,,
261,1,,Men's Open Heat A,Jedi Knights,06:37.80,,,,,,,,,
262,2,,Men's Open Heat A,UC Davis,06:42.36,,,,,,,,,
263,3,,Men's Open Heat A,Lake Washington,06:56.23,,,,,,,,,
264,4,,Men's Open Heat A,USD Jeromes,06:59.44,,,,,,,,,
265,5,,Men's Open Heat A,Bates Alumni,07:03.63,,,,,,,,,
266,6,,Men's Open Heat A,UCSB,07:12.23,,,,,,,,,
267,,,Men's Open Heat A,USD  ,,,,,,,,,,
268,,,Men's Open Heat A,,,,,,,,,,,
269,1,,Men's Open Heat B,Bihvar Crew,06:12.50,,,,,,,,,
270,2,,Men's Open Heat B,Stanford,06:14.96,,,,,,,,,
271,3,,Men's Open Heat B,Boat Movers,06:18.32,,,,,,,,,
272,4,,Men's Open Heat B,Lake Union,07:03.03,,,,,,,,,
273,5,,Men's Open Heat B,UCLA,07:19.97,,,,,,,,,
274,6,,Men's Open Heat B,UCSD Alum,07:33.69,,,,,,,,,
275,,,Men's Open Heat B,,,,,,,,,,,
276,1,,Men's Open Heat C,SDRC,06:41.20,,,,,,,,,
277,2,,Men's Open Heat C,UCSD,06:50.07,,,,,,,,,
278,3,,Men's Open Heat C,Bair Island,06:52.15,,,,,,,,,
279,4,,Men's Open Heat C,Santa Clara,06:56.61,,,,,,,,,
280,5,,Men's Open Heat C,Sac State,07:12.31,,,,,,,,,
