Year,Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
2022,17,,Womens U16 8+,,1,Marin,07:42.8,,"Ellington, B.",,,,,,,,,
2022,17,,Womens U16 8+,,2,Newport Sea Base,08:12.4,,,,,,,,,,,
2022,17,,Womens U16 8+,,3,Norcal Crew,08:16.4,,,,,,,,,,,
2022,17,,Womens U16 8+,,4,CCHS Crew,08:47.1,,"Galluccio, S.",,,,,,,,,
2022,18,,Mens U16 8+ Rose Cup,,1,Marin,06:52.0,,"Fasano, N.",,,,,,,,,
2022,18,,Mens U16 8+ Rose Cup,,2,Pacific,06:58.6,,,,,,,,,,,
2022,18,,Mens U16 8+ Rose Cup,,3,Long Beach Junior Crew,07:23.3,,"Price, K.",,,,,,,,,
2022,18,,Mens U16 8+ Rose Cup,,4,Norcal Crew,07:44.6,,,,,,,,,,,
2022,18,,Mens U16 8+ Rose Cup,,5,Dallas United,08:12.3,,,,,,,,,,,
2022,19,,Womens U16 Ulster Challenge Cup 4x+,,1,Maritime RC,08:22.3,,,,,,,,,,,
2022,19,,Womens U16 Ulster Challenge Cup 4x+,,2,Redwood Scullers,08:47.8,,"Naveen, A.",,,,,,,,,
2022,19,,Womens U16 Ulster Challenge Cup 4x+,,3,Norcal Crew,10:17.9,,,,,,,,,,,
2022,20,,Mens U16 4x+,,1,Newport Sea Base,07:44.7,,,,,,,,,,,
2022,20,,Mens U16 4x+,,2,OARS,07:54.4,,,,,,,,,,,
2022,20,,Mens U16 4x+,,3,Lake Las Vegas,08:16.4,,,,,,,,,,,
2022,20,,Mens U16 4x+,,4,CCHS Crew,08:18.8,,"MacNab, J.",,,,,,,,,
2022,20,,Mens U16 4x+,,5,Norcal Crew,08:19.2,,,,,,,,,,,
2022,21,,Womens U17 4x,,1,Redwood Scullers A,07:46.8,,"PETRI, O.",,,,,,,,,
2022,21,,Womens U17 4x,,2,Los Gatos,07:58.9,,"Sivi, A.",,,,,,,,,
2022,21,,Womens U17 4x,,3,Texas RC,08:21.0,,,,,,,,,,,
2022,21,,Womens U17 4x,,4,Norcal Crew,08:22.3,,,,,,,,,,,
2022,22,,Womens U17 4x,,1,Connecticut,07:59.8,,,,,,,,,,,
2022,22,,Womens U17 4x,,2,Redwood Scullers B,08:18.4,,"Khawaja, F.",,,,,,,,,
2022,22,,Womens U17 4x,,3,Maritime RC,08:30.3,,,,,,,,,,,
2022,22,,Womens U17 4x,,4,Lake Las Vegas,08:48.9,,,,,,,,,,,
2022,23,,Mens U17 4x,,1,Maritime RC A,06:52.0,,,,,,,,,,,
2022,23,,Mens U17 4x,,2,Los Gatos A,07:01.9,,"Shetler, L.",,,,,,,,,
2022,23,,Mens U17 4x,,3,River City,07:26.5,,"Davids, B.",,,,,,,,,
2022,23,,Mens U17 4x,,4,Austin,07:48.5,,"Engler, G.",,,,,,,,,
2022,24,,Mens U17 4x,,1,Maritime RC B,07:05.6,,,,,,,,,,,
2022,24,,Mens U17 4x,,2,Redwood Scullers,07:12.2,,"Gurenkov, D.",,,,,,,,,
2022,24,,Mens U17 4x,,3,OARS,07:20.3,,,,,,,,,,,
2022,24,,Mens U17 4x,,4,Los Gatos B,07:29.9,,"Yoo, D.",,,,,,,,,
2022,25,,"Mens Masters 8+ H, I (70+)",,1,Kent Mitchell (H),08:00.6,,,,,,,,,,,
