Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
33,,Womens Open,A,1,Cal,6:59:80,,,,,,,,,
33,,Womens Open,A,2,Notre Dame,7:09:30,,,,,,,,,
33,,Womens Open,A,3,SDRC,7:17:33,,,,,,,,,
33,,Womens Open,A,4,Notre Dame Alum,7:28:81,,,,,,,,,
33,,Womens Open,A,5,St Mary's,7:30:67,,,,,,,,,
33,,Womens Open,A,6,UC Irvine Alum,7:50:72,,,,,,,,,
33,,Womens Open,A,7,Colorado,8:12:16,,,,,,,,,
34,,Womens Open,B,1,River City,7:30:70,,,,,,,,,
34,,Womens Open,B,2,Arizona Rowing,7:37:22,,,,,,,,,
34,,Womens Open,B,3,Lake Union,7:44:39,,,,,,,,,
34,,Womens Open,B,4,UCSB,8:09:56,,,,,,,,,
34,,Womens Open,B,5,Star Light Fox,8:57:82,,,,,,,,,
34,,Womens Open,B,6,,,,,,,,,,,
34,,Womens Open,B,7,,,,,,,,,,,
35,,Womens Open,C,1,SDSU,7:20:40,,,,,,,,,
35,,Womens Open,C,2,Riverside BC,7:20:94,,,,,,,,,
35,,Womens Open,C,3,Cal Alum,7:29:94,,,,,,,,,
35,,Womens Open,C,4,USC Alum,7:41:47,,,,,,,,,
35,,Womens Open,C,5,USD Alum,7:48:47,,,,,,,,,
35,,Womens Open,C,6,ASU,7:56:93,,,,,,,,,
35,,Womens Open,C,7,UCSD,7:57:99,,,,,,,,,
36,,Mens Open,A,1,Trident RC,6:12:10,,,,,,,,,
36,,Mens Open,A,2,UCLA,6:12:68,,,,,,,,,
36,,Mens Open,A,3,SDSU Alum (C),6:40:18,,,,,,,,,
36,,Mens Open,A,4,Sac State,6:42:27,,,,,,,,,
36,,Mens Open,A,5,USD Alum,6:54:44,,,,,,,,,
36,,Mens Open,A,6,LARC,7:34:12,,,,,,,,,
36,,Mens Open,A,7,,,,,,,,,,,
37,,Mens Open,B,1,Everett RA,6:28:40,,,,,,,,,
37,,Mens Open,B,2,Marin,6:29:73,,,,,,,,,
37,,Mens Open,B,3,Cal L/W,6:32:37,,,,,,,,,
37,,Mens Open,B,4,UCSD,6:37:55,,,,,,,,,
37,,Mens Open,B,5,Lake Wash,7:05:40,,,,,,,,,
37,,Mens Open,B,6,SDSU Alum (A),7:33:42,,,,,,,,,
37,,Mens Open,B,7,,,,,,,,,,,
38,,Mens Open,C,1,Stanford,6:24:70,,,,,,,,,
38,,Mens Open,C,2,True Aggies,6:39:33,,,,,,,,,
38,,Mens Open,C,3,Lake Merritt,6:42:09,,,,,,,,,
38,,Mens Open,C,4,Orange Coast,6:58:46,,,,,,,,,
38,,Mens Open,C,5,UCSB,7:18:38,,,,,,,,,
38,,Mens Open,C,6,SDSU Alum (B),7:29:41,,,,,,,,,
38,,Mens Open,C,7,,,,,,,,,,,
39,,Mens Junior JV,A,1,Marin (A),6:35:20,,,,,,,,,
39,,Mens Junior JV,A,2,SDRC,6:40:83,,,,,,,,,
39,,Mens Junior JV,A,3,Los Gatos (B),6:41:28,,,,,,,,,
39,,Mens Junior JV,A,4,Oakland,6:41:82,,,,,,,,,
39,,Mens Junior JV,A,5,Rose City RC,6:43:89,,,,,,,,,
39,,Mens Junior JV,A,6,Capital Crew ,6:44:24,,,,,,,,,
39,,Mens Junior JV,A,7,,,,,,,,,,,
40,,Mens Junior JV,B,1,St Ignatius,6:26:50,,,,,,,,,
40,,Mens Junior JV,B,2,Marin (B),6:37:31,,,,,,,,,
40,,Mens Junior JV,B,3,Serra HS,6:38:11,,,,,,,,,
40,,Mens Junior JV,B,4,Los Gatos (A),6:38:30,,,,,,,,,
40,,Mens Junior JV,B,5,Berkeley HS,6:49:29,,,,,,,,,
40,,Mens Junior JV,B,6,Marina AC,6:59:69,,,,,,,,,
40,,Mens Junior JV,B,7,,,,,,,,,,,
41,,Womens Junior JV,A,1,Oakland Strokes,7:10:90,,,,,,,,,
41,,Womens Junior JV,A,2,St Ignatius,7:19:04,,,,,,,,,
41,,Womens Junior JV,A,3,Marin (B),7:23:33,,,,,,,,,
41,,Womens Junior JV,A,4,Rose City RC,7:33:19,,,,,,,,,
41,,Womens Junior JV,A,5,River City,7:50:18,,,,,,,,,
41,,Womens Junior JV,A,6,Marina AC,7:56:27,,,,,,,,,
41,,Womens Junior JV,A,7,,,,,,,,,,,
42,,Womens Junior JV,B,1,Marin (A),7:14:40,,,,,,,,,
42,,Womens Junior JV,B,2,Los Gatos,7:31:87,,,,,,,,,
42,,Womens Junior JV,B,3,Holy Names,7:36:67,,,,,,,,,
42,,Womens Junior JV,B,4,SDRC,7:41:16,,,,,,,,,
42,,Womens Junior JV,B,5,NorCal,7:50:83,,,,,,,,,
42,,Womens Junior JV,B,6,Rio Salado,8:20:44,,,,,,,,,
42,,Womens Junior JV,B,7,,,,,,,,,,,
43,,Womens Junior JV,C,1,Community,7:25:10,,,,,,,,,
43,,Womens Junior JV,C,2,Lakeside HS,7:25:31,,,,,,,,,
43,,Womens Junior JV,C,3,Capital Crew ,7:34:77,,,,,,,,,
43,,Womens Junior JV,C,4,Long Beach,7:41:69,,,,,,,,,
43,,Womens Junior JV,C,5,ZLAC,7:54:99,,,,,,,,,
43,,Womens Junior JV,C,6,Xavier,7:57:57,,,,,,,,,
43,,Womens Junior JV,C,7,,,,,,,,,,,
44,,Mens Cal Cup,3RD,1,Santa Clara,6:27:70,,,,,,,,,
44,,Mens Cal Cup,3RD,2,Sac State,6:31:37,,,,,,,,,
44,,Mens Cal Cup,3RD,3,UC Irvine,6:32:13,,,,,,,,,
44,,Mens Cal Cup,3RD,4,USD,6:33:26,,,,,,,,,
44,,Mens Cal Cup,3RD,5,Sonoma State,6:34:17,,,,,,,,,
44,,Mens Cal Cup,3RD,6,SDSU,6:36:71,,,,,,,,,
44,,Mens Cal Cup,3RD,7,,,,,,,,,,,
45,,Womens Cal Cup,3RD,1,USD,7:07:80,,,,,,,,,
45,,Womens Cal Cup,3RD,2,LB State,7:16:23,,,,,,,,,
45,,Womens Cal Cup,3RD,3,UCSB,7:18:47,,,,,,,,,
45,,Womens Cal Cup,3RD,4,Santa Clara,7:24:85,,,,,,,,,
45,,Womens Cal Cup,3RD,5,Sonoma State,7:38:47,,,,,,,,,
45,,Womens Cal Cup,3RD,6,,,,,,,,,,,
45,,Womens Cal Cup,3RD,7,,,,,,,,,,,
46,,Womens JV,3RD,1,Sac State,7:20:10,,,,,,,,,
46,,Womens JV,3RD,2,Loyola,7:24:68,,,,,,,,,
46,,Womens JV,3RD,3,St. Joseph's,7:27:57,,,,,,,,,
46,,Womens JV,3RD,4,Santa Clara,7:41:35,,,,,,,,,
46,,Womens JV,3RD,5,USD (B),7:52:00,,,,,,,,,
46,,Womens JV,3RD,6,,,,,,,,,,,
46,,Womens JV,3RD,7,,,,,,,,,,,
47,,Mens Collegiate Novice,3RD,1,SDSU,6:44:30,,,,,,,,,
47,,Mens Collegiate Novice,3RD,2,UCLA (B),6:44:75,,,,,,,,,
47,,Mens Collegiate Novice,3RD,3,Colorado,6:53:27,,,,,,,,,
47,,Mens Collegiate Novice,3RD,4,Wash State,6:58:25,,,,,,,,,
47,,Mens Collegiate Novice,3RD,5,USC (A),6:59:73,,,,,,,,,
47,,Mens Collegiate Novice,3RD,6,Loyola,7:07:44,,,,,,,,,
47,,Mens Collegiate Novice,3RD,7,,,,,,,,,,,
48,,Womens Collegiate Novice,3RD,1,Sac State,7:24:30,,,,,,,,,
48,,Womens Collegiate Novice,3RD,2,UC Davis,7:35:18,,,,,,,,,
48,,Womens Collegiate Novice,3RD,3,UC Irvine,7:40:84,,,,,,,,,
48,,Womens Collegiate Novice,3RD,4,Sonoma State,7:41:26,,,,,,,,,
48,,Womens Collegiate Novice,3RD,5,UCSB,7:43:96,,,,,,,,,
48,,Womens Collegiate Novice,3RD,6,Colorado,7:59:14,,,,,,,,,
48,,Womens Collegiate Novice,3RD,7,,,,,,,,,,,
49,,Mens Collegiate Novice,4TH,1,Santa Clara,7:03:40,,,,,,,,,
49,,Mens Collegiate Novice,4TH,2,US Davis (B),7:06:49,,,,,,,,,
49,,Mens Collegiate Novice,4TH,3,UCLA (A),7:16:03,,,,,,,,,
49,,Mens Collegiate Novice,4TH,4,,,,,,,,,,,
49,,Mens Collegiate Novice,4TH,5,,,,,,,,,,,
49,,Mens Collegiate Novice,4TH,6,,,,,,,,,,,
49,,Mens Collegiate Novice,4TH,7,,,,,,,,,,,
50,,Womens Collegiate Novice,4TH,1,Chapman (A),7:56:10,,,,,,,,,
50,,Womens Collegiate Novice,4TH,2,Orange Coast,8:07:83,,,,,,,,,
50,,Womens Collegiate Novice,4TH,3,Sonoma (B),8:15:77,,,,,,,,,
50,,Womens Collegiate Novice,4TH,4,UCSD (B),8:21:95,,,,,,,,,
50,,Womens Collegiate Novice,4TH,5,Chapman (B),8:22:46,,,,,,,,,
50,,Womens Collegiate Novice,4TH,6,,,,,,,,,,,
50,,Womens Collegiate Novice,4TH,7,,,,,,,,,,,
51,,Mens Junior,Petite,1,SDRC,6:45:88,,,,,,,,,
51,,Mens Junior,Petite,2,Serra HS,6:47:51,,,,,,,,,
51,,Mens Junior,Petite,3,Berkeley HS,6:49:19,,,,,,,,,
51,,Mens Junior,Petite,4,Lakeside HS,6:52:09,,,,,,,,,
51,,Mens Junior,Petite,5,River City,6:57:08,,,,,,,,,
51,,Mens Junior,Petite,6,Long Beach,6:57:52,,,,,,,,,
51,,Mens Junior,Petite,7,,,,,,,,,,,
52,,Womens Junior,Petite,1,Rose City,7:30:40,,,,,,,,,
52,,Womens Junior,Petite,2,Lakeside HS,7:34:43,,,,,,,,,
52,,Womens Junior,Petite,3,River City,7:40:37,,,,,,,,,
52,,Womens Junior,Petite,4,SDRC,7:44:47,,,,,,,,,
52,,Womens Junior,Petite,5,Holy Names,7:44:67,,,,,,,,,
52,,Womens Junior,Petite,6,NorCal,7:49:03,,,,,,,,,
52,,Womens Junior,Petite,7,,,,,,,,,,,
53,,Womens Club *,A,1,LBRA,8:05:90,,,,,,,,,
53,,Womens Club *,A,2,Marin,8:25:49,,,,,,,,,
53,,Womens Club *,A,3,Lake Merritt,8:29:82,,,,,,,,,
53,,Womens Club *,A,4,Portland BC,8:36:30,,,,,,,,,
53,,Womens Club *,A,5,Community,8:41:43,,,,,,,,,
53,,Womens Club *,A,6,Interlochen,8:58:32,,,,,,,,,
