Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
3,,Womens Junior JV -,GFinal,3,Holy Name,7:27.75,,,,,,,,,
3,,Womens Junior JV -,GFinal,4,Capitol,7:41.09,,,,,,,,,
3,,Womens Junior JV -,GFinal,5,St. Ignatius,7:43.40,,,,,,,,,
3,,Womens Junior JV -,GFinal,6,Long Beach,7:53.15,,,,,,,,,
3,,Womens Junior JV -,GFinal,7,,,,,,,,,,,
4,,Mens Junior JV,GFinal,1,Los Gatos,6:31.9,,,,,,,,,
4,,Mens Junior JV,GFinal,2,Marin,6:35.16,,,,,,,,,
4,,Mens Junior JV,GFinal,3,St. Ignatius,6:37.41,,,,,,,,,
4,,Mens Junior JV,GFinal,4,Berkeley,6:45.67,,,,,,,,,
4,,Mens Junior JV,GFinal,5,Sammamish,6:47.35,,,,,,,,,
4,,Mens Junior JV,GFinal,6,Oakland,6:49.94,,,,,,,,,
4,,Mens Junior JV,GFinal,7,,,,,,,,,,,
5,,Womens Collegiate Novice,Petite,1,Notre Dame,7:19.49,,,,,,,,,
5,,Womens Collegiate Novice,Petite,2,USC,7:25.04,,,,,,,,,
5,,Womens Collegiate Novice,Petite,3,Sac State,7:29.58,,,,,,,,,
5,,Womens Collegiate Novice,Petite,4,UCSD,7:37.38,,,,,,,,,
5,,Womens Collegiate Novice,Petite,5,UC Davis,7:37.51,,,,,,,,,
5,,Womens Collegiate Novice,Petite,6,Loyola,7:51.58,,,,,,,,,
5,,Womens Collegiate Novice,Petite,7,,,,,,,,,,,
6,,Mens Collegiate Novice,Petite,1,UCLA,6:33.6,,,,,,,,,
6,,Mens Collegiate Novice,Petite,2,Sonoma State,6:35.96,,,,,,,,,
6,,Mens Collegiate Novice,Petite,3,WSU,6:37.57,,,,,,,,,
6,,Mens Collegiate Novice,Petite,4,UC Davis A,6:40.84,,,,,,,,,
6,,Mens Collegiate Novice,Petite,5,UC Davis B,6:55.80,,,,,,,,,
6,,Mens Collegiate Novice,Petite,6,UCSB,6:58.13,,,,,,,,,
6,,Mens Collegiate Novice,Petite,7,,,,,,,,,,,
7,Hudson Cup,Womens Masters A,Final,1,Lake Wash,7:09.6,,,,,,,,,
7,Hudson Cup,Womens Masters A,Final,2,Union BC,7:10.28,,,,,,,,,
7,Hudson Cup,Womens Masters A,Final,3,LBRA,7:12.10,,,,,,,,,
7,Hudson Cup,Womens Masters A,Final,4,Row as One,8:50.66,,,,,,,,,
7,Hudson Cup,Womens Masters A,Final,5,,,,,,,,,,,
7,Hudson Cup,Womens Masters A,Final,6,,,,,,,,,,,
7,Hudson Cup,Womens Masters A,Final,7,,,,,,,,,,,
8,Mission Bay Park Trophy,Mens Masters A,Final,1,Lake Wash,6:21.1,,,,,,,,,
8,Mission Bay Park Trophy,Mens Masters A,Final,2,Wisco Alum,6:37.11,,,,,,,,,
8,Mission Bay Park Trophy,Mens Masters A,Final,3,SDRC,6:44.42,,,,,,,,,
8,Mission Bay Park Trophy,Mens Masters A,Final,4,Lake Union,6:46.77,,,,,,,,,
8,Mission Bay Park Trophy,Mens Masters A,Final,5,,,,,,,,,,,
8,Mission Bay Park Trophy,Mens Masters A,Final,6,,,,,,,,,,,
8,Mission Bay Park Trophy,Mens Masters A,Final,7,,,,,,,,,,,
9,,Womens Open,Petite,1,UCLA,7:18.4,,,,,,,,,
9,,Womens Open,Petite,2,St. Mary's,7:19.33,,,,,,,,,
9,,Womens Open,Petite,3,Lake Union,7:29.68,,,,,,,,,
9,,Womens Open,Petite,4,River City,7:30.62,,,,,,,,,
9,,Womens Open,Petite,5,Sac State Alum,7:32.01,,,,,,,,,
9,,Womens Open,Petite,6,Tempe Rowing,7:38.18,,,,,,,,,
9,,Womens Open,Petite,7,,,,,,,,,,,
10,,Mens Open,Petite,1,Jedi Knights,6:33.7,,,,,,,,,
10,,Mens Open,Petite,2,LARC,6:40.41,,,,,,,,,
10,,Mens Open,Petite,3,UCD,6:45.55,,,,,,,,,
10,,Mens Open,Petite,4,Tempe RC,6:45.71,,,,,,,,,
10,,Mens Open,Petite,5,Bair Island,6:47.61,,,,,,,,,
10,,Mens Open,Petite,6,,,,,,,,,,,
10,,Mens Open,Petite,7,,,,,,,,,,,
11,Founder's Trophy,Mens Masters D,Final,1,Kent Mitchell,6:40.1,,,,,,,,,
11,Founder's Trophy,Mens Masters D,Final,2,Marin,6:45.38,,,,,,,,,
11,Founder's Trophy,Mens Masters D,Final,3,SDRC,6:49.39,,,,,,,,,
11,Founder's Trophy,Mens Masters D,Final,4,Union BC,7:00.63,,,,,,,,,
11,Founder's Trophy,Mens Masters D,Final,5,Calif YC,7:03.66,,,,,,,,,
11,Founder's Trophy,Mens Masters D,Final,6,Serendipity,7:37.35,,,,,,,,,
11,Founder's Trophy,Mens Masters D,Final,7,Rio Salado,8:01.23,,,,,,,,,
12,Grand Masters Trophy,Mens Masters F,Final,1,LBRA,7:15.7,,,,,,,,,
12,Grand Masters Trophy,Mens Masters F,Final,2,SDRC,7:20.37,,,,,,,,,
12,Grand Masters Trophy,Mens Masters F,Final,3,Vesper,7:20.62,,,,,,,,,
12,Grand Masters Trophy,Mens Masters F,Final,4,Marin,7:24.50,,,,,,,,,
12,Grand Masters Trophy,Mens Masters F,Final,5,Los Gatos,7:28.37,,,,,,,,,
12,Grand Masters Trophy,Mens Masters F,Final,6,,,,,,,,,,,
12,Grand Masters Trophy,Mens Masters F,Final,7,,,,,,,,,,,
13,Cloud 9 Shuttle/Kearny Johnston Memorial Cup,Womens Masters E,Final,1,Portland BC,7:43.13,,,,,,,,,
13,Cloud 9 Shuttle/Kearny Johnston Memorial Cup,Womens Masters E,Final,2,Los Gatos(A),7:49.76,,,,,,,,,
13,Cloud 9 Shuttle/Kearny Johnston Memorial Cup,Womens Masters E,Final,3,Marin,8:00.46,,,,,,,,,
13,Cloud 9 Shuttle/Kearny Johnston Memorial Cup,Womens Masters E,Final,4,SDRC,8:04.60,,,,,,,,,
13,Cloud 9 Shuttle/Kearny Johnston Memorial Cup,Womens Masters E,Final,5,Los Gatos(B),8:23.46,,,,,,,,,
13,Cloud 9 Shuttle/Kearny Johnston Memorial Cup,Womens Masters E,Final,6,Lions RC,8:23.86,,,,,,,,,
13,Cloud 9 Shuttle/Kearny Johnston Memorial Cup,Womens Masters E,Final,7,PT Crewsers,8:51.40,,,,,,,,,
14,,Womens Collegiate Lt,Petite,1,Cal,7:37.00,,,,,,,,,
14,,Womens Collegiate Lt,Petite,2,Stanford B,7:43.07,,,,,,,,,
14,,Womens Collegiate Lt,Petite,3,Utah Jr,8:34.18,,,,,,,,,
14,,Womens Collegiate Lt,Petite,4,,,,,,,,,,,
14,,Womens Collegiate Lt,Petite,5,,,,,,,,,,,
14,,Womens Collegiate Lt,Petite,6,,,,,,,,,,,
14,,Womens Collegiate Lt,Petite,7,,,,,,,,,,,
15,Fred Rickon Memorial Cup,Womens Masters B,Final,1,Lake Union,7:23.4,,,,,,,,,
15,Fred Rickon Memorial Cup,Womens Masters B,Final,2,Willamette,7:31.33,,,,,,,,,
15,Fred Rickon Memorial Cup,Womens Masters B,Final,3,Lake Merritt,7:53.43,,,,,,,,,
15,Fred Rickon Memorial Cup,Womens Masters B,Final,4,ZLAC,8:23.58,,,,,,,,,
15,Fred Rickon Memorial Cup,Womens Masters B,Final,5,Row as One,8:39.11,,,,,,,,,
15,Fred Rickon Memorial Cup,Womens Masters B,Final,6,,,,,,,,,,,
15,Fred Rickon Memorial Cup,Womens Masters B,Final,7,,,,,,,,,,,
16,President's Trophy,Mens Masters B,Final,1,Kent Mitchell,6:29.6,,,,,,,,,
16,President's Trophy,Mens Masters B,Final,2,USD Alum (MB),6:31.86,,,,,,,,,
16,President's Trophy,Mens Masters B,Final,3,Milwaukee,6:33.49,,,,,,,,,
16,President's Trophy,Mens Masters B,Final,4,Marin,6:35.43,,,,,,,,,
16,President's Trophy,Mens Masters B,Final,5,LARC,7:03.83,,,,,,,,,
16,President's Trophy,Mens Masters B,Final,6,USD Alum(SC),7:15.69,,,,,,,,,
16,President's Trophy,Mens Masters B,Final,7,,,,,,,,,,,
17,,Womens JV,Petite,1,OSU,7:04.5,,,,,,,,,
17,,Womens JV,Petite,2,Tenn,7:07.35,,,,,,,,,
17,,Womens JV,Petite,3,Notre Dame,7:11.55,,,,,,,,,
17,,Womens JV,Petite,4,Miami,7:12.53,,,,,,,,,
17,,Womens JV,Petite,5,Sac State,7:13.63,,,,,,,,,
17,,Womens JV,Petite,6,K State,7:16.28,,,,,,,,,
17,,Womens JV,Petite,7,,,,,,,,,,,
18,,Mens JV,Petite,1,UC Davis,6:33.17,,,,,,,,,
18,,Mens JV,Petite,2,UCSD,6:40.95,,,,,,,,,
18,,Mens JV,Petite,3,UCLA,6:43.66,,,,,,,,,
18,,Mens JV,Petite,4,USC,6:45.48,,,,,,,,,
18,,Mens JV,Petite,5,UCI,6:50.09,,,,,,,,,
18,,Mens JV,Petite,6,Minn,6:54.00,,,,,,,,,
18,,Mens JV,Petite,7,,,,,,,,,,,
19,Lang and Associates Trophy,Womens Masters D,Final,1,NBRC Portland,7:37.2,,,,,,,,,
19,Lang and Associates Trophy,Womens Masters D,Final,2,Lake Union,7:38.91,,,,,,,,,
19,Lang and Associates Trophy,Womens Masters D,Final,3,Martha's Moms,7:54.31,,,,,,,,,
19,Lang and Associates Trophy,Womens Masters D,Final,4,SDRC,8:00.26,,,,,,,,,
19,Lang and Associates Trophy,Womens Masters D,Final,5,Carnegie,8:06.49,,,,,,,,,
19,Lang and Associates Trophy,Womens Masters D,Final,6,Denver,8:07.37,,,,,,,,,
19,Lang and Associates Trophy,Womens Masters D,Final,7,ZLAC,8:49.32,,,,,,,,,
20,SeaWorld San Diego Trophy,Womens Collegiate Novice,GFinal,1,Cal,7:06.5,,,,,,,,,
20,SeaWorld San Diego Trophy,Womens Collegiate Novice,GFinal,2,UCLA,7:11.53,,,,,,,,,
20,SeaWorld San Diego Trophy,Womens Collegiate Novice,GFinal,3,OSU,7:12.83,,,,,,,,,
20,SeaWorld San Diego Trophy,Womens Collegiate Novice,GFinal,4,SDSU,723.09,,,,,,,,,
20,SeaWorld San Diego Trophy,Womens Collegiate Novice,GFinal,5,Texas,7:23.75,,,,,,,,,
20,SeaWorld San Diego Trophy,Womens Collegiate Novice,GFinal,6,WSU,7:27.33,,,,,,,,,
20,SeaWorld San Diego Trophy,Womens Collegiate Novice,GFinal,7,,,,,,,,,,,
21,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,1,Cal A,6:03.75,,,,,,,,,
21,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,2,Cal B,6:26.16,,,,,,,,,
21,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,3,OCC A,6:27.75,,,,,,,,,
21,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,4,UCSD,6:35.06,,,,,,,,,
21,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,5,Stanford,6:37.28,,,,,,,,,
21,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,6,Loyola,6:39.78,,,,,,,,,
21,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,7,,,,,,,,,,,
22,,Womens Cal Cup,Petite,1,Trinity,7:11.7,,,,,,,,,
22,,Womens Cal Cup,Petite,2,UCSB,7:12.02,,,,,,,,,
22,,Womens Cal Cup,Petite,3,Villanova,7:14.48,,,,,,,,,
22,,Womens Cal Cup,Petite,4,St. Joseph,7:14.53,,,,,,,,,
22,,Womens Cal Cup,Petite,5,Temple,7:19.83,,,,,,,,,
22,,Womens Cal Cup,Petite,6,USD,7:51.03,,,,,,,,,
22,,Womens Cal Cup,Petite,7,,,,,,,,,,,
23,,Mens Cal Cup,Petite,1,UCSD,6:07.8,,,,,,,,,
23,,Mens Cal Cup,Petite,2,WSU,6:10.15,,,,,,,,,
23,,Mens Cal Cup,Petite,3,UCLA,6:11.03,,,,,,,,,
23,,Mens Cal Cup,Petite,4,OCC,6:15.33,,,,,,,,,
23,,Mens Cal Cup,Petite,5,Texas,6:15.82,,,,,,,,,
23,,Mens Cal Cup,Petite,6,Loyola,6:26.23,,,,,,,,,
23,,Mens Cal Cup,Petite,7,,,,,,,,,,,
24,,Jessop-Whittier Cup,Petite,1,OSU,6:57.9,,,,,,,,,
24,,Jessop-Whittier Cup,Petite,2,Notre Dame,6:58.56,,,,,,,,,
24,,Jessop-Whittier Cup,Petite,3,Texas,6:59.97,,,,,,,,,
24,,Jessop-Whittier Cup,Petite,4,Loyola,7:07.82,,,,,,,,,
24,,Jessop-Whittier Cup,Petite,5,Purdue,7:08.47,,,,,,,,,
24,,Jessop-Whittier Cup,Petite,6,,,,,,,,,,,
24,,Jessop-Whittier Cup,Petite,7,,,,,,,,,,,
25,,Copley Cup,Petite,1,UNC,6:15.1,,,,,,,,,
25,,Copley Cup,Petite,2,Temple,6:19.28,,,,,,,,,
25,,Copley Cup,Petite,3,UC Davis,6:19.97,,,,,,,,,
25,,Copley Cup,Petite,4,,,,,,,,,,,
25,,Copley Cup,Petite,5,,,,,,,,,,,
25,,Copley Cup,Petite,6,,,,,,,,,,,
25,,Copley Cup,Petite,7,,,,,,,,,,,
26,Gilman/Mulliken Cup,Womens Junior,GFinal,1,Oakland,7:02.9,,,,,,,,,
26,Gilman/Mulliken Cup,Womens Junior,GFinal,2,Thunderbird,7:07.42,,,,,,,,,
26,Gilman/Mulliken Cup,Womens Junior,GFinal,3,Community,7:10.83,,,,,,,,,
26,Gilman/Mulliken Cup,Womens Junior,GFinal,4,Holy Name,7:18.13,,,,,,,,,
26,Gilman/Mulliken Cup,Womens Junior,GFinal,5,Marin,7:20.44,,,,,,,,,
26,Gilman/Mulliken Cup,Womens Junior,GFinal,6,Sammamish,7:20.90,,,,,,,,,
26,Gilman/Mulliken Cup,Womens Junior,GFinal,7,,,,,,,,,,,
27,William Robinson Memorial Trophy,Mens Junior,GFinal,1,Marin,6:17.2,,,,,,,,,
27,William Robinson Memorial Trophy,Mens Junior,GFinal,2,Los Gatos,6:22.52,,,,,,,,,
27,William Robinson Memorial Trophy,Mens Junior,GFinal,3,Vic City,6:27.70,,,,,,,,,
27,William Robinson Memorial Trophy,Mens Junior,GFinal,4,St. Ignatius,6:30.85,,,,,,,,,
27,William Robinson Memorial Trophy,Mens Junior,GFinal,5,Oakland,6:31.07,,,,,,,,,
27,William Robinson Memorial Trophy,Mens Junior,GFinal,6,Capitol,6:35.27,,,,,,,,,
27,William Robinson Memorial Trophy,Mens Junior,GFinal,7,,,,,,,,,,,
28,Carley Copley Cup,Womens Open,GFinal,1,Cal,7:04.1,,,,,,,,,
28,Carley Copley Cup,Womens Open,GFinal,2,USC Alunni,7:13.07,,,,,,,,,
28,Carley Copley Cup,Womens Open,GFinal,3,USC,7:15.53,,,,,,,,,
28,Carley Copley Cup,Womens Open,GFinal,4,Cal Alumni,7:17.32,,,,,,,,,
28,Carley Copley Cup,Womens Open,GFinal,5,Notre Dame,7:21.87,,,,,,,,,
28,Carley Copley Cup,Womens Open,GFinal,6,SDRC,7:22.56,,,,,,,,,
28,Carley Copley Cup,Womens Open,GFinal,7,,,,,,,,,,,
29,Joan Ward Memorial Trophy,Mens Open,GFinal,1,Trinity,6:09.67,,,,,,,,,
29,Joan Ward Memorial Trophy,Mens Open,GFinal,2,Bihvhar Crew,6:19.73,,,,,,,,,
29,Joan Ward Memorial Trophy,Mens Open,GFinal,3,Marin,6:20.16,,,,,,,,,
29,Joan Ward Memorial Trophy,Mens Open,GFinal,4,Newport,6:27.90,,,,,,,,,
29,Joan Ward Memorial Trophy,Mens Open,GFinal,5,Milwaukee,6:28.23,,,,,,,,,
29,Joan Ward Memorial Trophy,Mens Open,GFinal,6,,,,,,,,,,,
29,Joan Ward Memorial Trophy,Mens Open,GFinal,7,,,,,,,,,,,
30,Jackie Ann Stitt Hungness Memorial Trophy,Womens JV,GFinal,1,Cal,6:51.3,,,,,,,,,
30,Jackie Ann Stitt Hungness Memorial Trophy,Womens JV,GFinal,2,WSU,6:56.05,,,,,,,,,
30,Jackie Ann Stitt Hungness Memorial Trophy,Womens JV,GFinal,3,Stanford,6:56.79,,,,,,,,,
30,Jackie Ann Stitt Hungness Memorial Trophy,Womens JV,GFinal,4,Texas,6:57.67,,,,,,,,,
30,Jackie Ann Stitt Hungness Memorial Trophy,Womens JV,GFinal,5,USC,6:58.93,,,,,,,,,
30,Jackie Ann Stitt Hungness Memorial Trophy,Womens JV,GFinal,6,UCLA,7:01.64,,,,,,,,,
30,Jackie Ann Stitt Hungness Memorial Trophy,Womens JV,GFinal,7,,,,,,,,,,,
31,Sharp Cabrillo Cup,Mens JV,GFinal,1,Cal A,5:58.10,,,,,,,,,
31,Sharp Cabrillo Cup,Mens JV,GFinal,2,Northeastern,6:01.39,,,,,,,,,
31,Sharp Cabrillo Cup,Mens JV,GFinal,3,Cal B,6:04.54,,,,,,,,,
31,Sharp Cabrillo Cup,Mens JV,GFinal,4,Penn,6:08.47,,,,,,,,,
31,Sharp Cabrillo Cup,Mens JV,GFinal,5,Stanford,6:10.26,,,,,,,,,
31,Sharp Cabrillo Cup,Mens JV,GFinal,6,OCC,6:43.20,,,,,,,,,
31,Sharp Cabrillo Cup,Mens JV,GFinal,7,,,,,,,,,,,
32,Thalia Kelly Considine Cup,Womens Club,Final,1,LBRA,6:53.5,,,,,,,,,
32,Thalia Kelly Considine Cup,Womens Club,Final,2,Portland RC,7:04.55,,,,,,,,,
32,Thalia Kelly Considine Cup,Womens Club,Final,3,Lake Union,7:06.73,,,,,,,,,
32,Thalia Kelly Considine Cup,Womens Club,Final,4,Union BC,7:09.23,,,,,,,,,
32,Thalia Kelly Considine Cup,Womens Club,Final,5,Los Gatos,7:09.98,,,,,,,,,
32,Thalia Kelly Considine Cup,Womens Club,Final,6,Lake Wash,7:12.16,,,,,,,,,
32,Thalia Kelly Considine Cup,Womens Club,Final,7,,,,,,,,,,,
33,City of San Diego Cup,Mens Club,Final,1,LBRA,6:21.34,,,,,,,,,
33,City of San Diego Cup,Mens Club,Final,2,Marin,6:24.97,,,,,,,,,
33,City of San Diego Cup,Mens Club,Final,3,Ashland RC,6:33.48,,,,,,,,,
33,City of San Diego Cup,Mens Club,Final,4,Rocky Mtn,6:36.04,,,,,,,,,
33,City of San Diego Cup,Mens Club,Final,5,Union,6:40.53,,,,,,,,,
33,City of San Diego Cup,Mens Club,Final,6,Lake Wash,6:43.43,,,,,,,,,
33,City of San Diego Cup,Mens Club,Final,7,,,,,,,,,,,
34,A.W. Coggeshall Cup,Womens Collegiate Lt,GFinal,1,Stanford A,7:08.1,,,,,,,,,
34,A.W. Coggeshall Cup,Womens Collegiate Lt,GFinal,2,UCSB,7:17.29,,,,,,,,,
34,A.W. Coggeshall Cup,Womens Collegiate Lt,GFinal,3,SDSU,7:17.69,,,,,,,,,
34,A.W. Coggeshall Cup,Womens Collegiate Lt,GFinal,4,Central Fla,7:20.58,,,,,,,,,
34,A.W. Coggeshall Cup,Womens Collegiate Lt,GFinal,5,Loyola,7:29.28,,,,,,,,,
34,A.W. Coggeshall Cup,Womens Collegiate Lt,GFinal,6,Villanova,7:35.01,,,,,,,,,
34,A.W. Coggeshall Cup,Womens Collegiate Lt,GFinal,7,,,,,,,,,,,
35,Mesa Distributing/Samuel Adams Cal Cup,Womens Cal Cup,GFinal,1,SDSU,6:52.4,,,,,,,,,
35,Mesa Distributing/Samuel Adams Cal Cup,Womens Cal Cup,GFinal,2,Central Fla,6:54.25,,,,,,,,,
35,Mesa Distributing/Samuel Adams Cal Cup,Womens Cal Cup,GFinal,3,Sac State,6:54.76,,,,,,,,,
35,Mesa Distributing/Samuel Adams Cal Cup,Womens Cal Cup,GFinal,4,Miami,6:56.92,,,,,,,,,
35,Mesa Distributing/Samuel Adams Cal Cup,Womens Cal Cup,GFinal,5,UC Davis,6:57.47,,,,,,,,,
35,Mesa Distributing/Samuel Adams Cal Cup,Womens Cal Cup,GFinal,6,K State,7:07.50,,,,,,,,,
35,Mesa Distributing/Samuel Adams Cal Cup,Womens Cal Cup,GFinal,7,,,,,,,,,,,
36,American Specialty Health Cal Cup,Mens Cal Cup,GFinal,1,Trinity,5:58.5,,,,,,,,,
36,American Specialty Health Cal Cup,Mens Cal Cup,GFinal,2,Minn,6:03.73,,,,,,,,,
36,American Specialty Health Cal Cup,Mens Cal Cup,GFinal,3,Gonzaga,6:09.79,,,,,,,,,
36,American Specialty Health Cal Cup,Mens Cal Cup,GFinal,4,Colorado,6:10.04,,,,,,,,,
36,American Specialty Health Cal Cup,Mens Cal Cup,GFinal,5,Cal Lt Wt,6:11.05,,,,,,,,,
36,American Specialty Health Cal Cup,Mens Cal Cup,GFinal,6,USC,6:11.76,,,,,,,,,
36,American Specialty Health Cal Cup,Mens Cal Cup,GFinal,7,,,,,,,,,,,
37,Jessop-Whittier Cup,Jessop/Whittier Cup,GFinal,1,Cal,6:26.43,,,,,,,,,
37,Jessop-Whittier Cup,Jessop/Whittier Cup,GFinal,2,Stanford,6:33.76,,,,,,,,,
37,Jessop-Whittier Cup,Jessop/Whittier Cup,GFinal,3,USC,6:37.42,,,,,,,,,
37,Jessop-Whittier Cup,Jessop/Whittier Cup,GFinal,4,UCLA,6:38.87,,,,,,,,,
37,Jessop-Whittier Cup,Jessop/Whittier Cup,GFinal,5,WSU,6:40.95,,,,,,,,,
37,Jessop-Whittier Cup,Jessop/Whittier Cup,GFinal,6,Tenn,6:42.92,,,,,,,,,
37,Jessop-Whittier Cup,Jessop/Whittier Cup,GFinal,7,,,,,,,,,,,
38,Copley Cup,Copley Cup,GFinal,1,Cal,5:43.7,,,,,,,,,
38,Copley Cup,Copley Cup,GFinal,2,Stanford,5:45.17,,,,,,,,,
38,Copley Cup,Copley Cup,GFinal,3,Northeastern,5:45.92,,,,,,,,,
38,Copley Cup,Copley Cup,GFinal,4,USNA,5:47.93,,,,,,,,,
38,Copley Cup,Copley Cup,GFinal,5,Penn,5:53.49,,,,,,,,,
38,Copley Cup,Copley Cup,GFinal,6,Purdue,6:09.93,,,,,,,,,
38,Copley Cup,Copley Cup,GFinal,7,,,,,,,,,,,
