San Diego Crew Classic 2006 Official Results,,,,,,,,,,,,,,,,,,
"Saturday April 1, 2006",,,,,,,,,,,,,,,,,,
Event,Trophy,Title,Heat,Start,1st Place,,2nd Place,,3rd Place,,4th Place,,5th Place,,6th Place,,7th Place,
42, ,Womens Junior JV ,B,02:50:00 PM,Marin (A), 7:14:40,Los Gatos, 7:31:87,Holy Names, 7:36:67,SDRC, 7:41:16,NorCal, 7:50:83,Rio Salado, 8:20:44,,
43, ,Womens Junior JV ,C,03:00:00 PM,Community, 7:25:10,Lakeside HS, 7:25:31,Capital Crew , 7:34:77,Long Beach, 7:41:69,ZLAC, 7:54:99,Xavier, 7:57:57,,
44, ,Mens Cal Cup,3RD,03:10:00 PM,Santa Clara, 6:27:70,Sac State, 6:31:37,UC Irvine, 6:32:13,USD, 6:33:26,Sonoma State, 6:34:17,SDSU, 6:36:71,,
45, ,Womens Cal Cup,3RD,03:20:00 PM,USD, 7:07:80,LB State, 7:16:23,UCSB, 7:18:47,Santa Clara, 7:24:85,Sonoma State, 7:38:47,,,,
46, ,Womens JV,3RD,03:30:00 PM,Sac State, 7:20:10,Loyola, 7:24:68,St. Joseph's, 7:27:57,Santa Clara, 7:41:35,USD (B), 7:52:00,,,,
47, ,Mens Collegiate Novice,3RD,03:40:00 PM,SDSU, 6:44:30,UCLA (B), 6:44:75,Colorado, 6:53:27,Wash State, 6:58:25,USC (A), 6:59:73,Loyola, 7:07:44,,
48, ,Womens Collegiate Novice,3RD,03:50:00 PM,Sac State, 7:24:30,UC Davis, 7:35:18,UC Irvine, 7:40:84,Sonoma State, 7:41:26,UCSB, 7:43:96,Colorado, 7:59:14,,
49, ,Mens Collegiate Novice,4TH,04:00:00 PM,Santa Clara, 7:03:40,US Davis (B), 7:06:49,UCLA (A), 7:16:03,,,,,,,,
50, ,Womens Collegiate Novice,4TH,04:10:00 PM,Chapman (A), 7:56:10,Orange Coast, 8:07:83,Sonoma (B), 8:15:77,UCSD (B), 8:21:95,Chapman (B), 8:22:46,,,,
51, ,Mens Junior,Petite,04:20:00 PM,SDRC, 6:45:88,Serra HS, 6:47:51,Berkeley HS, 6:49:19,Lakeside HS, 6:52:09,River City, 6:57:08,Long Beach, 6:57:52,,
